# p + 181Ta   : (p,pdt)           Total
# Q-value    =-2.31416E+01
# E-threshold= 2.32704E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 2.31297E-17 5.46354E-17 2.54698E-14
 4.50000E+01 1.66604E-13 5.92231E-13 1.09425E-10
 5.00000E+01 2.30105E-11 1.26995E-10 1.30393E-08
 5.50000E+01 4.75288E-10 3.32561E-09 2.68374E-07
 6.00000E+01 2.43633E-09 1.82627E-08 1.11335E-06
 6.50000E+01 7.06865E-09 5.10023E-08 1.46652E-06
 7.00000E+01 1.67577E-08 1.08206E-07 9.06587E-07
 7.50000E+01 2.40789E-08 1.38263E-07 3.82060E-07
 8.00000E+01 2.90905E-08 1.57030E-07 1.93886E-07
 9.00000E+01 4.11076E-08 2.16342E-07 1.01850E-07
 1.00000E+02 4.91011E-08 2.56214E-07 7.07162E-08
 1.10000E+02 5.51587E-08 2.88623E-07 5.81021E-08
 1.20000E+02 5.41701E-08 2.82520E-07 4.67748E-08
 1.30000E+02 5.26659E-08 2.75004E-07 3.98176E-08
 1.40000E+02 5.36878E-08 2.81119E-07 3.58311E-08
 1.50000E+02 4.99397E-08 2.60729E-07 3.11980E-08
 1.60000E+02 4.73539E-08 2.46837E-07 2.84134E-08
 1.80000E+02 4.60842E-08 2.40944E-07 2.51287E-08
 2.00000E+02 4.08994E-08 2.12969E-07 2.23217E-08
