# p + 181Ta   : (p,2ndt)          Total
# Q-value    =-3.08958E+01
# E-threshold= 3.10678E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 4.38573E-15 9.22865E-15 8.64994E-16
 4.50000E+01 3.06979E-09 1.09463E-08 4.62243E-10
 5.00000E+01 1.82330E-06 9.18492E-06 2.89257E-07
 5.50000E+01 3.79284E-05 2.59211E-04 6.83251E-06
 6.00000E+01 1.57809E-04 1.27338E-03 3.18499E-05
 6.50000E+01 2.95242E-04 2.52935E-03 5.47472E-05
 7.00000E+01 3.84651E-04 3.33315E-03 5.70513E-05
 7.50000E+01 4.32686E-04 3.65330E-03 4.90699E-05
 8.00000E+01 4.26718E-04 3.42385E-03 3.67066E-05
 9.00000E+01 3.30205E-04 2.36749E-03 1.98794E-05
 1.00000E+02 2.51477E-04 1.66489E-03 1.19479E-05
 1.10000E+02 1.91691E-04 1.21198E-03 7.95319E-06
 1.20000E+02 1.52633E-04 9.35352E-04 5.62060E-06
 1.30000E+02 1.23314E-04 7.48242E-04 4.24695E-06
 1.40000E+02 9.92867E-05 5.92249E-04 3.28734E-06
 1.50000E+02 8.24776E-05 4.88506E-04 2.65939E-06
 1.60000E+02 6.47504E-05 3.79662E-04 2.08038E-06
 1.80000E+02 4.44248E-05 2.59380E-04 1.43491E-06
 2.00000E+02 3.23071E-05 1.88155E-04 1.02971E-06
