# p + 181Ta   : (p,dt)            Total
# Q-value    =-1.63542E+01
# E-threshold= 1.64453E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 2.73192E-17 2.53289E-17 3.58005E-18
 2.80000E+01 1.57898E-14 1.72830E-14 1.97267E-15
 3.00000E+01 1.10070E-12 1.40077E-12 1.38665E-13
 3.50000E+01 9.44172E-10 2.53752E-09 1.47115E-10
 4.00000E+01 9.14741E-08 3.97995E-07 1.94815E-08
 4.50000E+01 8.46144E-07 4.47647E-06 1.95350E-07
 5.00000E+01 1.94256E-06 1.08713E-05 3.56481E-07
 5.50000E+01 2.71525E-06 1.58192E-05 3.63210E-07
 6.00000E+01 2.87371E-06 1.69614E-05 2.79613E-07
 6.50000E+01 2.35979E-06 1.34792E-05 1.75221E-07
 7.00000E+01 1.82189E-06 1.00492E-05 1.09670E-07
 7.50000E+01 1.43215E-06 7.63111E-06 7.40539E-08
 8.00000E+01 1.15711E-06 6.01785E-06 5.38179E-08
 9.00000E+01 7.96712E-07 4.01544E-06 3.18167E-08
 1.00000E+02 5.79526E-07 2.85965E-06 2.16069E-08
 1.10000E+02 4.16922E-07 2.03329E-06 1.45858E-08
 1.20000E+02 3.09426E-07 1.49156E-06 1.05741E-08
 1.30000E+02 2.44177E-07 1.17296E-06 8.19815E-09
 1.40000E+02 1.87763E-07 8.96820E-07 6.31541E-09
 1.50000E+02 1.52636E-07 7.26853E-07 5.13461E-09
 1.60000E+02 1.22075E-07 5.79261E-07 4.14715E-09
 1.80000E+02 8.61261E-08 4.07010E-07 2.98779E-09
 2.00000E+02 5.95787E-08 2.81018E-07 2.12156E-09
