# p + 181Ta   : (p,nt)            Total
# Q-value    =-1.35725E+01
# E-threshold= 1.36480E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 3.42737E-16 0.00000E+00 0.00000E+00
 1.70000E+01 9.50442E-12 7.26622E-12 1.00000E+00
 1.80000E+01 3.11337E-08 2.78940E-08 1.00000E+00
 1.90000E+01 3.72159E-06 4.40599E-06 1.00000E+00
 2.00000E+01 1.20181E-04 1.69133E-04 1.00000E+00
 2.20000E+01 1.30006E-02 2.17549E-02 1.00000E+00
 2.40000E+01 2.25744E-01 4.80936E-01 9.99997E-01
 2.60000E+01 9.19282E-01 2.37899E+00 9.99558E-01
 2.80000E+01 2.02858E+00 6.12778E+00 9.80936E-01
 3.00000E+01 3.36078E+00 1.15031E+01 8.34906E-01
 3.50000E+01 5.91201E+00 2.47601E+01 2.49652E-01
 4.00000E+01 6.23631E+00 2.85786E+01 9.21102E-02
 4.50000E+01 5.74166E+00 2.74782E+01 4.93267E-02
 5.00000E+01 4.81390E+00 2.33831E+01 3.38283E-02
 5.50000E+01 3.88538E+00 1.88504E+01 2.57144E-02
 6.00000E+01 3.12486E+00 1.48970E+01 1.96290E-02
 6.50000E+01 2.50771E+00 1.17295E+01 1.54706E-02
 7.00000E+01 1.99070E+00 9.25573E+00 1.28131E-02
 7.50000E+01 1.61991E+00 7.40953E+00 1.03157E-02
 8.00000E+01 1.31638E+00 5.98288E+00 8.54877E-03
 9.00000E+01 9.01500E-01 4.00659E+00 6.10946E-03
 1.00000E+02 6.40323E-01 2.80528E+00 4.58772E-03
 1.10000E+02 4.54638E-01 1.98804E+00 3.49595E-03
 1.20000E+02 3.31965E-01 1.42139E+00 2.63429E-03
 1.30000E+02 2.48955E-01 1.07104E+00 2.08538E-03
 1.40000E+02 1.88105E-01 7.92524E-01 1.64705E-03
 1.50000E+02 1.47398E-01 6.25081E-01 1.35455E-03
 1.60000E+02 1.14614E-01 4.80562E-01 1.10947E-03
 1.80000E+02 7.45058E-02 3.12248E-01 7.80050E-04
 2.00000E+02 4.98701E-02 2.06127E-01 5.64816E-04
