# p + 181Ta   : (p,npt)           Total
# Q-value    =-1.85788E+01
# E-threshold= 1.86822E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 1.42866E-15 1.21313E-15 1.87219E-16
 2.80000E+01 3.95984E-12 4.09335E-12 4.94714E-13
 3.00000E+01 1.06318E-09 1.25112E-09 1.33939E-10
 3.50000E+01 2.25838E-06 3.49767E-06 3.51888E-07
 4.00000E+01 7.25891E-05 1.83074E-04 1.54595E-05
 4.50000E+01 4.02640E-04 1.50477E-03 9.29579E-05
 5.00000E+01 8.97589E-04 3.76601E-03 1.64717E-04
 5.50000E+01 1.69204E-03 6.72399E-03 2.26338E-04
 6.00000E+01 3.20485E-03 1.20520E-02 3.11833E-04
 6.50000E+01 6.60868E-03 2.39878E-02 4.90713E-04
 7.00000E+01 9.73373E-03 3.53301E-02 5.85927E-04
 7.50000E+01 1.33032E-02 4.83337E-02 6.87882E-04
 8.00000E+01 1.55169E-02 5.67785E-02 7.21698E-04
 9.00000E+01 1.87485E-02 6.81746E-02 7.48723E-04
 1.00000E+02 2.14661E-02 7.80868E-02 8.00335E-04
 1.10000E+02 2.05873E-02 7.45055E-02 7.20235E-04
 1.20000E+02 2.00290E-02 7.22518E-02 6.84459E-04
 1.30000E+02 1.83460E-02 6.61488E-02 6.15959E-04
 1.40000E+02 1.76724E-02 6.34980E-02 5.94411E-04
 1.50000E+02 1.67171E-02 5.98485E-02 5.62357E-04
 1.60000E+02 1.59446E-02 5.72058E-02 5.41669E-04
 1.80000E+02 1.51981E-02 5.42401E-02 5.27236E-04
 2.00000E+02 1.48709E-02 5.30131E-02 5.29545E-04
