# p + 181Ta   : (p,2npt)          Total
# Q-value    =-2.49544E+01
# E-threshold= 2.50933E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 1.11364E-18 1.01789E-18 2.97798E-19
 3.50000E+01 1.17645E-09 1.48965E-09 1.63915E-10
 4.00000E+01 1.76117E-06 4.53551E-06 2.30332E-07
 4.50000E+01 1.02095E-04 4.58403E-04 1.52915E-05
 5.00000E+01 9.40729E-04 6.08544E-03 1.68512E-04
 5.50000E+01 2.81951E-03 2.13293E-02 5.00478E-04
 6.00000E+01 4.69472E-03 3.65780E-02 6.80135E-04
 6.50000E+01 7.21351E-03 5.20271E-02 7.77259E-04
 7.00000E+01 1.29133E-02 8.47201E-02 1.04037E-03
 7.50000E+01 1.98868E-02 1.21483E-01 1.24508E-03
 8.00000E+01 3.05472E-02 1.82080E-01 1.61991E-03
 9.00000E+01 4.63032E-02 2.63098E-01 1.93418E-03
 1.00000E+02 6.24811E-02 3.47921E-01 2.26299E-03
 1.10000E+02 6.57749E-02 3.59120E-01 2.15678E-03
 1.20000E+02 6.74388E-02 3.64773E-01 2.09385E-03
 1.30000E+02 6.31754E-02 3.39176E-01 1.89499E-03
 1.40000E+02 6.27512E-02 3.35122E-01 1.82806E-03
 1.50000E+02 5.92747E-02 3.15960E-01 1.72042E-03
 1.60000E+02 5.65321E-02 2.99198E-01 1.62255E-03
 1.80000E+02 5.44576E-02 2.86727E-01 1.54707E-03
 2.00000E+02 5.19418E-02 2.72867E-01 1.50984E-03
