# p + 181Ta   : (p,pt)            Total
# Q-value    =-1.09529E+01
# E-threshold= 1.10138E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 1.79681E-18 1.12364E-18 8.64443E-19
 1.80000E+01 1.16652E-15 8.04856E-16 3.54324E-16
 1.90000E+01 8.70701E-14 6.25141E-14 1.40122E-14
 2.00000E+01 2.27521E-12 1.79587E-12 1.34284E-13
 2.20000E+01 3.11695E-10 3.05315E-10 1.59263E-11
 2.40000E+01 8.38365E-09 1.05182E-08 1.42107E-09
 2.60000E+01 9.03620E-08 1.38791E-07 2.22837E-08
 2.80000E+01 4.29969E-07 8.66877E-07 1.38225E-07
 3.00000E+01 1.39665E-06 3.88959E-06 5.62459E-07
 3.50000E+01 1.48914E-05 6.87363E-05 6.77342E-06
 4.00000E+01 5.40151E-05 2.98850E-04 1.55082E-05
 4.50000E+01 1.14638E-04 6.37445E-04 2.01867E-05
 5.00000E+01 3.28420E-04 1.69935E-03 3.78013E-05
 5.50000E+01 8.77961E-04 4.52343E-03 6.91855E-05
 6.00000E+01 1.42358E-03 7.35981E-03 8.59480E-05
 6.50000E+01 2.29903E-03 1.18871E-02 1.15535E-04
 7.00000E+01 2.78865E-03 1.44949E-02 1.21913E-04
 7.50000E+01 3.19463E-03 1.66086E-02 1.26700E-04
 8.00000E+01 3.42334E-03 1.77817E-02 1.24897E-04
 9.00000E+01 3.53023E-03 1.83065E-02 1.18481E-04
 1.00000E+02 3.78719E-03 1.97480E-02 1.19472E-04
 1.10000E+02 3.38315E-03 1.75391E-02 1.05355E-04
 1.20000E+02 3.29856E-03 1.71682E-02 1.01572E-04
 1.30000E+02 2.91696E-03 1.50944E-02 9.12161E-05
 1.40000E+02 2.79962E-03 1.45420E-02 8.81229E-05
 1.50000E+02 2.64568E-03 1.37422E-02 8.45449E-05
 1.60000E+02 2.47288E-03 1.27797E-02 8.09644E-05
 1.80000E+02 2.42094E-03 1.26038E-02 8.23290E-05
 2.00000E+02 2.28368E-03 1.17910E-02 8.32329E-05
