# p + 181Ta   : (p,2dt)           Total
# Q-value    =-2.72050E+01
# E-threshold= 2.73564E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 6.94287E-20 1.53841E-19 2.44776E-17
 5.00000E+01 6.18119E-16 2.27219E-15 1.05980E-13
 5.50000E+01 1.89016E-13 1.08484E-12 2.54917E-11
 6.00000E+01 8.78465E-12 6.24900E-11 1.12396E-09
 6.50000E+01 6.59330E-11 4.92198E-10 8.07904E-09
 7.00000E+01 1.43956E-10 1.09717E-09 1.41030E-08
 7.50000E+01 2.17794E-10 1.57766E-09 1.04644E-08
 8.00000E+01 2.45374E-10 1.62076E-09 4.14599E-09
 9.00000E+01 1.86922E-10 1.09485E-09 7.21142E-10
 1.00000E+02 1.48463E-10 8.43550E-10 2.34586E-10
 1.10000E+02 1.09923E-10 6.19101E-10 1.03962E-10
 1.20000E+02 9.58588E-11 5.35935E-10 6.17322E-11
 1.30000E+02 7.36955E-11 4.13699E-10 3.90851E-11
 1.40000E+02 5.68689E-11 3.18122E-10 2.67693E-11
 1.50000E+02 4.50278E-11 2.49270E-10 1.94752E-11
 1.60000E+02 3.70076E-11 2.05188E-10 1.48994E-11
 1.80000E+02 2.11899E-11 1.17671E-10 8.18220E-12
 2.00000E+02 1.49329E-11 8.21608E-11 5.26849E-12
