# p + 181Ta   : (p,n2pt)          Total
# Q-value    =-2.53662E+01
# E-threshold= 2.55074E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 1.40362E-16 2.41019E-16 1.54563E-13
 4.50000E+01 4.58960E-12 1.24859E-11 3.01444E-09
 5.00000E+01 1.56431E-09 6.03042E-09 8.86448E-07
 5.50000E+01 5.67400E-08 2.84179E-07 3.20385E-05
 6.00000E+01 5.44826E-07 3.15509E-06 2.48973E-04
 6.50000E+01 2.30386E-06 1.37558E-05 4.77980E-04
 7.00000E+01 5.23886E-06 2.88059E-05 2.83421E-04
 7.50000E+01 7.95956E-06 3.92646E-05 1.26295E-04
 8.00000E+01 1.17385E-05 5.37483E-05 7.82362E-05
 9.00000E+01 2.86235E-05 1.26958E-04 7.09187E-05
 1.00000E+02 7.86412E-05 3.46553E-04 1.13260E-04
 1.10000E+02 1.35885E-04 6.08319E-04 1.43136E-04
 1.20000E+02 1.98094E-04 8.84088E-04 1.71050E-04
 1.30000E+02 2.37599E-04 1.06981E-03 1.79635E-04
 1.40000E+02 3.00974E-04 1.36164E-03 2.00869E-04
 1.50000E+02 3.24915E-04 1.46499E-03 2.02978E-04
 1.60000E+02 3.37029E-04 1.52028E-03 2.02225E-04
 1.80000E+02 3.97111E-04 1.79774E-03 2.16536E-04
 2.00000E+02 4.19593E-04 1.89702E-03 2.29002E-04
