# p + 181Ta   : (p,2n2pt)         Total
# Q-value    =-3.16541E+01
# E-threshold= 3.18303E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 3.84258E-16 7.51335E-16 1.35473E-13
 5.00000E+01 9.20073E-12 2.61078E-11 1.57752E-09
 5.50000E+01 3.05600E-09 1.11271E-08 4.12149E-07
 6.00000E+01 1.31326E-07 5.95016E-07 1.68025E-05
 6.50000E+01 1.65476E-06 8.34100E-06 2.02765E-04
 7.00000E+01 8.23519E-06 4.51303E-05 8.06776E-04
 7.50000E+01 2.33515E-05 1.25834E-04 1.12198E-03
 8.00000E+01 4.39401E-05 2.20199E-04 7.42438E-04
 9.00000E+01 9.13491E-05 4.12397E-04 3.52423E-04
 1.00000E+02 2.23427E-04 9.55783E-04 3.53037E-04
 1.10000E+02 4.78047E-04 2.09782E-03 4.52125E-04
 1.20000E+02 8.31999E-04 3.68008E-03 5.35800E-04
 1.30000E+02 1.11172E-03 4.97890E-03 5.89613E-04
 1.40000E+02 1.43989E-03 6.46406E-03 6.77785E-04
 1.50000E+02 1.63280E-03 7.24606E-03 7.06211E-04
 1.60000E+02 1.81058E-03 8.09908E-03 7.28946E-04
 1.80000E+02 2.02814E-03 9.08810E-03 7.83139E-04
 2.00000E+02 2.30228E-03 1.03529E-02 8.12266E-04
