# p + 181Ta   : (p,2pt)           Total
# Q-value    =-1.82933E+01
# E-threshold= 1.83951E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 1.76256E-15 2.14368E-15 2.17913E-11
 4.00000E+01 2.48329E-12 4.85452E-12 2.19823E-08
 4.50000E+01 1.85873E-10 5.88535E-10 1.65834E-06
 5.00000E+01 4.49393E-09 1.95844E-08 2.85928E-05
 5.50000E+01 3.54370E-08 1.73169E-07 5.76631E-05
 6.00000E+01 1.24245E-07 6.20714E-07 2.52836E-05
 6.50000E+01 1.88020E-07 8.64583E-07 6.50699E-06
 7.00000E+01 2.93679E-07 1.30383E-06 3.65789E-06
 7.50000E+01 4.78647E-07 2.09622E-06 3.00924E-06
 8.00000E+01 9.59546E-07 4.19642E-06 3.81277E-06
 9.00000E+01 2.56696E-06 1.12628E-05 5.82895E-06
 1.00000E+02 6.34433E-06 2.80781E-05 1.03761E-05
 1.10000E+02 9.50948E-06 4.20449E-05 1.28078E-05
 1.20000E+02 1.25358E-05 5.55697E-05 1.46345E-05
 1.30000E+02 1.48367E-05 6.59496E-05 1.58206E-05
 1.40000E+02 1.65970E-05 7.36098E-05 1.68580E-05
 1.50000E+02 1.78106E-05 7.90775E-05 1.74535E-05
 1.60000E+02 1.96303E-05 8.76221E-05 1.80985E-05
 1.80000E+02 2.04080E-05 9.05448E-05 1.83126E-05
 2.00000E+02 2.24982E-05 1.00198E-04 1.95745E-05
