# p + 181Ta   : (p,3nt)           Total
# Q-value    =-2.89477E+01
# E-threshold= 2.91089E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 1.88840E-17 0.00000E+00 0.00000E+00
 3.50000E+01 2.37011E-05 8.75763E-05 1.00000E+00
 4.00000E+01 1.11615E-01 4.93341E-01 9.98632E-01
 4.50000E+01 1.34727E+00 7.51057E+00 8.01507E-01
 5.00000E+01 3.48786E+00 2.21248E+01 2.81188E-01
 5.50000E+01 4.95806E+00 3.35997E+01 1.29647E-01
 6.00000E+01 5.51371E+00 3.87806E+01 8.72210E-02
 6.50000E+01 5.51718E+00 3.86860E+01 6.73932E-02
 7.00000E+01 5.11842E+00 3.52897E+01 5.64256E-02
 7.50000E+01 4.52060E+00 3.06622E+01 4.83593E-02
 8.00000E+01 4.04754E+00 2.67645E+01 4.06537E-02
 9.00000E+01 3.09733E+00 1.98634E+01 3.08242E-02
 1.00000E+02 2.36401E+00 1.47652E+01 2.47479E-02
 1.10000E+02 1.72235E+00 1.06459E+01 1.85206E-02
 1.20000E+02 1.32760E+00 8.03203E+00 1.40494E-02
 1.30000E+02 9.84981E-01 5.90169E+00 1.13495E-02
 1.40000E+02 7.78966E-01 4.61601E+00 8.96208E-03
 1.50000E+02 5.94804E-01 3.53023E+00 7.47570E-03
 1.60000E+02 4.90195E-01 2.87388E+00 6.05690E-03
 1.80000E+02 3.26713E-01 1.92156E+00 4.39736E-03
 2.00000E+02 2.35105E-01 1.36927E+00 3.28147E-03
