# p + 181Ta   : (p,t)             Total
# Q-value    =-5.74181E+00
# E-threshold= 5.77378E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 1.43068E-20 0.00000E+00 0.00000E+00
 9.00000E+00 2.20218E-15 0.00000E+00 0.00000E+00
 1.00000E+01 1.03262E-11 8.66088E-12 9.99998E-01
 1.10000E+01 1.94678E-09 3.40597E-09 9.99998E-01
 1.20000E+01 2.97990E-07 7.62103E-07 1.00000E+00
 1.30000E+01 1.52204E-05 4.20952E-05 1.00000E+00
 1.40000E+01 3.07946E-04 8.89016E-04 1.00000E+00
 1.50000E+01 3.18535E-03 9.56546E-03 9.99971E-01
 1.60000E+01 1.95675E-02 6.14257E-02 9.99889E-01
 1.70000E+01 7.66081E-02 2.54000E-01 9.99803E-01
 1.80000E+01 2.08134E-01 7.35360E-01 9.98484E-01
 1.90000E+01 4.35275E-01 1.64466E+00 9.90277E-01
 2.00000E+01 7.61831E-01 3.08277E+00 9.62373E-01
 2.20000E+01 1.65739E+00 7.55867E+00 7.46206E-01
 2.40000E+01 2.59479E+00 1.28346E+01 4.34954E-01
 2.60000E+01 3.17730E+00 1.65718E+01 2.27597E-01
 2.80000E+01 3.42071E+00 1.86260E+01 1.22173E-01
 3.00000E+01 3.37830E+00 1.91361E+01 7.10925E-02
 3.50000E+01 2.91058E+00 1.74199E+01 2.74553E-02
 4.00000E+01 2.33531E+00 1.42062E+01 1.57115E-02
 4.50000E+01 1.77523E+00 1.06631E+01 1.06974E-02
 5.00000E+01 1.40122E+00 8.12326E+00 8.08334E-03
 5.50000E+01 1.05892E+00 6.08864E+00 5.98170E-03
 6.00000E+01 8.34308E-01 4.65827E+00 4.77371E-03
 6.50000E+01 6.35913E-01 3.59578E+00 3.65750E-03
 7.00000E+01 5.30113E-01 2.90297E+00 3.05281E-03
 7.50000E+01 4.01875E-01 2.20033E+00 2.38131E-03
 8.00000E+01 3.43062E-01 1.83692E+00 2.07590E-03
 9.00000E+01 2.27376E-01 1.19225E+00 1.46993E-03
 1.00000E+02 1.56364E-01 8.10518E-01 1.08108E-03
 1.10000E+02 1.16705E-01 5.98958E-01 8.36768E-04
 1.20000E+02 8.16784E-02 4.11905E-01 6.38642E-04
 1.30000E+02 6.34599E-02 3.19735E-01 5.12110E-04
 1.40000E+02 4.49575E-02 2.24340E-01 3.97273E-04
 1.50000E+02 3.59468E-02 1.78897E-01 3.23957E-04
 1.60000E+02 2.81739E-02 1.39971E-01 2.68600E-04
 1.80000E+02 1.81962E-02 8.95135E-02 1.88959E-04
 2.00000E+02 1.15331E-02 5.65583E-02 1.32488E-04
