# p + 181Ta   : (p,nd2a)          Total
# Q-value    =-7.99591E+00
# E-threshold= 8.04042E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 4.18206E-18 2.48489E-19 0.00000E+00
 4.00000E+01 3.62425E-14 1.19553E-13 3.24509E-02
 4.50000E+01 5.06759E-12 2.13539E-11 7.96341E-02
 5.00000E+01 2.92987E-10 1.51459E-09 4.62869E-02
 5.50000E+01 5.25058E-09 3.36163E-08 3.39197E-02
 6.00000E+01 2.87698E-08 2.13064E-07 2.89559E-02
 6.50000E+01 6.12379E-08 5.02334E-07 2.76762E-02
 7.00000E+01 7.52521E-08 6.57285E-07 2.72480E-02
 7.50000E+01 8.50600E-08 7.67717E-07 2.87680E-02
 8.00000E+01 8.83839E-08 8.17609E-07 1.97071E-02
 9.00000E+01 8.00828E-08 6.72888E-07 1.72671E-03
 1.00000E+02 6.44194E-08 4.74631E-07 1.80446E-04
 1.10000E+02 4.35702E-08 3.07460E-07 4.56985E-05
 1.20000E+02 3.55154E-08 2.44193E-07 1.81461E-05
 1.30000E+02 2.85805E-08 1.98108E-07 1.08414E-05
 1.40000E+02 2.14431E-08 1.48850E-07 6.49780E-06
 1.50000E+02 1.73871E-08 1.20342E-07 4.62933E-06
 1.60000E+02 1.40608E-08 9.66731E-08 3.25460E-06
 1.80000E+02 9.61489E-09 6.54564E-08 1.80150E-06
 2.00000E+02 6.98775E-09 4.75458E-08 9.71697E-07
