# p + 181Ta   : (p,2nd2a)         Total
# Q-value    =-1.54817E+01
# E-threshold= 1.55679E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 1.16839E-19 8.42789E-21 0.00000E+00
 4.50000E+01 8.62331E-15 3.54629E-14 4.79962E-03
 5.00000E+01 4.71270E-12 2.20038E-11 2.60636E-02
 5.50000E+01 4.51575E-10 2.31647E-09 4.53539E-02
 6.00000E+01 1.49375E-08 9.16203E-08 5.40826E-02
 6.50000E+01 1.09011E-07 7.79880E-07 5.24694E-02
 7.00000E+01 3.01244E-07 2.43821E-06 4.80188E-02
 7.50000E+01 4.22663E-07 3.70892E-06 4.68517E-02
 8.00000E+01 4.42907E-07 4.03615E-06 4.75471E-02
 9.00000E+01 4.73377E-07 4.25102E-06 1.67651E-02
 1.00000E+02 3.89720E-07 3.09504E-06 1.75665E-03
 1.10000E+02 2.96872E-07 2.12569E-06 2.81306E-04
 1.20000E+02 2.38361E-07 1.69576E-06 9.37692E-05
 1.30000E+02 1.78449E-07 1.26816E-06 3.76932E-05
 1.40000E+02 1.38995E-07 9.61530E-07 2.03117E-05
 1.50000E+02 1.16796E-07 7.98195E-07 1.25157E-05
 1.60000E+02 9.39697E-08 6.43473E-07 8.67126E-06
 1.80000E+02 6.07586E-08 4.11899E-07 5.51932E-06
 2.00000E+02 4.35256E-08 2.97017E-07 3.24888E-06
