# p + 181Ta   : (p,d2a)           Total
# Q-value    =-1.76051E+00
# E-threshold= 1.77031E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 2.36832E-20 1.72649E-21 0.00000E+00
 3.00000E+01 5.66218E-19 5.19420E-20 0.00000E+00
 3.50000E+01 1.57065E-16 5.62765E-18 0.00000E+00
 4.00000E+01 1.31384E-12 5.94877E-12 4.87274E-02
 4.50000E+01 4.49640E-11 2.40891E-10 1.58264E-02
 5.00000E+01 5.30383E-10 3.32349E-09 1.06431E-02
 5.50000E+01 2.12247E-09 1.48956E-08 9.02335E-03
 6.00000E+01 4.05796E-09 3.15972E-08 9.50218E-03
 6.50000E+01 5.37733E-09 4.48060E-08 1.07505E-02
 7.00000E+01 6.07823E-09 5.17032E-08 1.06319E-02
 7.50000E+01 6.30039E-09 5.22852E-08 4.89144E-03
 8.00000E+01 6.08149E-09 4.82183E-08 1.10395E-03
 9.00000E+01 4.21150E-09 2.95805E-08 7.87191E-05
 1.00000E+02 2.70233E-09 1.74074E-08 1.21743E-05
 1.10000E+02 2.00762E-09 1.26496E-08 4.13396E-06
 1.20000E+02 1.56484E-09 9.84272E-09 1.94739E-06
 1.30000E+02 1.18922E-09 7.50655E-09 1.09519E-06
 1.40000E+02 9.97440E-10 6.29681E-09 8.01086E-07
 1.50000E+02 8.15099E-10 5.08045E-09 5.61684E-07
 1.60000E+02 6.92366E-10 4.30071E-09 4.06696E-07
 1.80000E+02 4.73491E-10 2.95435E-09 2.42470E-07
 2.00000E+02 3.34819E-10 2.09041E-09 1.67883E-07
