# p + 181Ta   : (p,nh2a)          Total
# Q-value    =-8.89301E+00
# E-threshold= 8.94251E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 4.88358E-19 9.27540E-19 2.05786E-09
 5.00000E+01 1.98258E-16 5.21252E-16 2.16451E-07
 5.50000E+01 1.57322E-13 5.90939E-13 1.12006E-04
 6.00000E+01 1.21259E-11 6.38299E-11 8.22740E-03
 6.50000E+01 3.04027E-10 2.00047E-09 1.75777E-01
 7.00000E+01 2.96112E-09 2.08909E-08 5.00134E-01
 7.50000E+01 1.06900E-08 7.24278E-08 3.18253E-01
 8.00000E+01 2.03037E-08 1.37051E-07 1.47672E-01
 9.00000E+01 2.71936E-08 1.79868E-07 4.15915E-02
 1.00000E+02 2.86952E-08 1.87837E-07 2.01267E-02
 1.10000E+02 2.25167E-08 1.48114E-07 1.10432E-02
 1.20000E+02 1.75838E-08 1.14868E-07 5.02526E-03
 1.30000E+02 1.19387E-08 7.53053E-08 1.47738E-03
 1.40000E+02 8.73481E-09 5.47918E-08 6.43842E-04
 1.50000E+02 7.01271E-09 4.40328E-08 3.52848E-04
 1.60000E+02 5.40293E-09 3.37279E-08 1.79955E-04
 1.80000E+02 4.03671E-09 2.56242E-08 7.58552E-05
 2.00000E+02 3.03809E-09 2.03473E-08 5.09684E-05
