# p + 181Ta   : (p,h2a)           Total
# Q-value    =-3.21141E+00
# E-threshold= 3.22929E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 2.07546E-20 3.05958E-22 0.00000E+00
 4.50000E+01 1.03985E-17 7.45139E-20 0.00000E+00
 5.00000E+01 8.26795E-16 3.48513E-18 0.00000E+00
 5.50000E+01 9.44413E-13 4.79667E-12 9.92915E-01
 6.00000E+01 1.61959E-11 1.06879E-10 6.92536E-01
 6.50000E+01 1.11785E-10 7.89167E-10 2.89683E-01
 7.00000E+01 2.91945E-10 2.02431E-09 8.20469E-02
 7.50000E+01 4.37247E-10 3.02021E-09 3.16996E-02
 8.00000E+01 5.56206E-10 3.87715E-09 1.68081E-02
 9.00000E+01 5.63686E-10 4.09554E-09 6.22296E-03
 1.00000E+02 4.78711E-10 3.54207E-09 2.53692E-03
 1.10000E+02 3.72384E-10 2.60255E-09 7.18308E-04
 1.20000E+02 2.89448E-10 1.92075E-09 1.50624E-04
 1.30000E+02 2.18836E-10 1.48741E-09 4.92975E-05
 1.40000E+02 1.72322E-10 1.19145E-09 2.86198E-05
 1.50000E+02 1.36589E-10 9.25337E-10 1.61569E-05
 1.60000E+02 1.06824E-10 7.22924E-10 9.78648E-06
 1.80000E+02 6.49034E-11 4.40676E-10 5.37286E-06
 2.00000E+02 4.25894E-11 2.89601E-10 3.00916E-06
