# p + 181Ta   : (p,n2a)           Total
# Q-value    = 3.48074E+00
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 3.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 4.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 5.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 6.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 7.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 8.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 9.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 1.00000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.10000E+01 1.55504E-19 3.47654E-21 0.00000E+00
 1.20000E+01 6.89603E-18 1.52633E-19 0.00000E+00
 1.30000E+01 1.74373E-16 5.17086E-18 0.00000E+00
 1.40000E+01 2.56012E-15 7.09340E-17 0.00000E+00
 1.50000E+01 2.54666E-14 1.07113E-15 0.00000E+00
 1.60000E+01 1.86658E-13 7.64428E-15 0.00000E+00
 1.70000E+01 5.26361E-12 9.90932E-12 9.99966E-01
 1.80000E+01 2.71130E-11 5.43683E-11 9.99965E-01
 1.90000E+01 1.15190E-10 2.49467E-10 9.99966E-01
 2.00000E+01 4.48095E-10 1.05271E-09 9.99974E-01
 2.20000E+01 5.58515E-09 1.45710E-08 9.99981E-01
 2.40000E+01 4.24900E-08 1.26278E-07 9.99981E-01
 2.60000E+01 2.77978E-07 9.41953E-07 9.99981E-01
 2.80000E+01 1.49641E-06 5.46442E-06 9.99981E-01
 3.00000E+01 6.14918E-06 2.47239E-05 9.99980E-01
 3.50000E+01 7.20366E-05 3.91210E-04 9.99971E-01
 4.00000E+01 2.38283E-04 1.62075E-03 9.99944E-01
 4.50000E+01 3.31113E-04 2.66833E-03 9.99862E-01
 5.00000E+01 3.27584E-04 2.81703E-03 9.98481E-01
 5.50000E+01 2.89483E-04 2.53167E-03 9.53291E-01
 6.00000E+01 2.38940E-04 2.15791E-03 6.64798E-01
 6.50000E+01 1.82387E-04 1.56400E-03 2.78696E-01
 7.00000E+01 1.42150E-04 1.14918E-03 1.00336E-01
 7.50000E+01 1.03038E-04 7.59423E-04 3.77678E-02
 8.00000E+01 7.54636E-05 5.33620E-04 1.73135E-02
 9.00000E+01 4.28891E-05 2.86522E-04 5.96663E-03
 1.00000E+02 2.76133E-05 1.78726E-04 2.73737E-03
 1.10000E+02 1.86584E-05 1.17121E-04 1.21868E-03
 1.20000E+02 1.28053E-05 7.83585E-05 4.33034E-04
 1.30000E+02 9.14214E-06 5.48498E-05 1.63735E-04
 1.40000E+02 6.84666E-06 4.04058E-05 7.92604E-05
 1.50000E+02 5.38342E-06 3.14786E-05 4.47138E-05
 1.60000E+02 4.40040E-06 2.56960E-05 2.81212E-05
 1.80000E+02 2.90897E-06 1.71653E-05 1.46678E-05
 2.00000E+02 2.04237E-06 1.19555E-05 9.43524E-06
