# p + 181Ta   : (p,np2a)          Total
# Q-value    =-3.98508E+00
# E-threshold= 4.00726E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 2.26752E-20 1.46663E-21 0.00000E+00
 3.00000E+01 7.85595E-19 6.33434E-20 0.00000E+00
 3.50000E+01 8.64066E-16 1.59261E-17 0.00000E+00
 4.00000E+01 2.56491E-11 8.51875E-11 9.51268E-01
 4.50000E+01 2.79609E-09 1.15534E-08 9.84167E-01
 5.00000E+01 4.93027E-08 2.57887E-07 9.89345E-01
 5.50000E+01 2.33091E-07 1.47491E-06 9.90951E-01
 6.00000E+01 4.22956E-07 3.06334E-06 9.90400E-01
 6.50000E+01 4.92932E-07 3.84765E-06 9.85484E-01
 7.00000E+01 4.97490E-07 3.98870E-06 8.70200E-01
 7.50000E+01 4.63442E-07 3.62310E-06 3.59803E-01
 8.00000E+01 4.03227E-07 2.98783E-06 7.31961E-02
 9.00000E+01 2.88584E-07 1.88538E-06 5.39405E-03
 1.00000E+02 2.78435E-07 1.63470E-06 1.25438E-03
 1.10000E+02 4.72503E-07 2.72120E-06 9.72950E-04
 1.20000E+02 6.64013E-07 3.87324E-06 8.26344E-04
 1.30000E+02 6.90413E-07 4.08336E-06 6.35824E-04
 1.40000E+02 6.15678E-07 3.64818E-06 4.94476E-04
 1.50000E+02 5.16489E-07 3.00777E-06 3.55912E-04
 1.60000E+02 4.84947E-07 2.81863E-06 2.84858E-04
 1.80000E+02 4.26064E-07 2.50720E-06 2.18184E-04
 2.00000E+02 3.52915E-07 2.07081E-06 1.76957E-04
