# p + 181Ta   : (p,3np2a)         Total
# Q-value    =-1.77062E+01
# E-threshold= 1.78048E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 5.94144E-20 4.02988E-21 0.00000E+00
 4.50000E+01 7.53072E-15 2.81787E-14 4.19150E-03
 5.00000E+01 1.93575E-11 8.27290E-11 1.07057E-01
 5.50000E+01 5.68495E-09 2.72165E-08 5.70967E-01
 6.00000E+01 2.33382E-07 1.36975E-06 8.44980E-01
 6.50000E+01 1.90049E-06 1.29351E-05 9.14749E-01
 7.00000E+01 5.87965E-06 4.54430E-05 9.37226E-01
 7.50000E+01 8.49554E-06 7.22249E-05 9.41720E-01
 8.00000E+01 8.56643E-06 7.56121E-05 9.19628E-01
 9.00000E+01 7.66134E-06 6.73267E-05 2.71333E-01
 1.00000E+02 5.24976E-06 4.00751E-05 2.36631E-02
 1.10000E+02 5.98758E-06 4.01162E-05 5.67364E-03
 1.20000E+02 9.30821E-06 6.17553E-05 3.66177E-03
 1.30000E+02 1.20112E-05 7.84558E-05 2.53710E-03
 1.40000E+02 1.76415E-05 1.13060E-04 2.57800E-03
 1.50000E+02 1.97953E-05 1.27631E-04 2.12125E-03
 1.60000E+02 1.77242E-05 1.16256E-04 1.63554E-03
 1.80000E+02 1.25122E-05 7.97714E-05 1.13661E-03
 2.00000E+02 1.13963E-05 7.37479E-05 8.50657E-04
