# p + 181Ta   : (p,p2a)           Total
# Q-value    = 2.96793E+00
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 3.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 4.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 5.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 6.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 7.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 8.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 9.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 1.00000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.10000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.20000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.30000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.40000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.50000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.60000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.70000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.80000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.90000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 2.00000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 2.20000E+01 1.99651E-19 1.10137E-20 0.00000E+00
 2.40000E+01 4.04860E-18 1.62840E-19 0.00000E+00
 2.60000E+01 4.12840E-17 1.75627E-18 0.00000E+00
 2.80000E+01 2.82177E-16 1.29057E-17 0.00000E+00
 3.00000E+01 1.50963E-15 6.19718E-17 0.00000E+00
 3.50000E+01 2.64357E-12 1.26711E-11 9.99992E-01
 4.00000E+01 1.56576E-10 1.10359E-09 9.99991E-01
 4.50000E+01 2.58525E-09 2.15356E-08 9.99986E-01
 5.00000E+01 9.54452E-09 9.04382E-08 9.99966E-01
 5.50000E+01 1.27282E-08 1.31789E-07 9.99461E-01
 6.00000E+01 1.21879E-08 1.31814E-07 9.51631E-01
 6.50000E+01 1.17528E-08 1.21480E-07 4.09287E-01
 7.00000E+01 1.23536E-08 1.24731E-07 6.65801E-02
 7.50000E+01 1.18359E-08 1.15072E-07 1.20587E-02
 8.00000E+01 8.51191E-09 7.25447E-08 2.01239E-03
 9.00000E+01 7.29910E-09 5.71545E-08 2.76656E-04
 1.00000E+02 1.08526E-08 8.60369E-08 1.52890E-04
 1.10000E+02 1.31273E-08 1.02865E-07 1.11094E-04
 1.20000E+02 1.53409E-08 1.18073E-07 9.35843E-05
 1.30000E+02 1.59996E-08 1.24021E-07 6.86485E-05
 1.40000E+02 1.46470E-08 1.16169E-07 5.40512E-05
 1.50000E+02 1.29307E-08 1.02934E-07 4.42342E-05
 1.60000E+02 9.51085E-09 7.42483E-08 2.99633E-05
 1.80000E+02 7.36970E-09 5.62662E-08 2.06069E-05
 2.00000E+02 6.98091E-09 5.38034E-08 1.60946E-05
