# p + 181Ta   : (p,nt2a)          Total
# Q-value    =-9.22443E+00
# E-threshold= 9.27578E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 4.18325E-20 3.60256E-21 0.00000E+00
 4.00000E+01 6.12118E-17 6.64551E-18 0.00000E+00
 4.50000E+01 1.78051E-12 8.13415E-12 9.91007E-01
 5.00000E+01 1.56744E-10 8.35941E-10 8.66876E-01
 5.50000E+01 3.82012E-09 2.42068E-08 3.83673E-01
 6.00000E+01 2.78763E-08 2.02595E-07 1.00929E-01
 6.50000E+01 6.80709E-08 5.46080E-07 3.27640E-02
 7.00000E+01 9.22465E-08 7.93936E-07 1.47043E-02
 7.50000E+01 9.77406E-08 8.90459E-07 1.08344E-02
 8.00000E+01 9.28701E-08 8.79466E-07 9.96983E-03
 9.00000E+01 8.68979E-08 8.20733E-07 3.07757E-03
 1.00000E+02 6.41639E-08 5.47002E-07 2.89217E-04
 1.10000E+02 4.12589E-08 3.15829E-07 3.90956E-05
 1.20000E+02 3.23518E-08 2.40574E-07 1.27269E-05
 1.30000E+02 2.52052E-08 1.87031E-07 5.32403E-06
 1.40000E+02 2.05841E-08 1.49034E-07 3.00802E-06
 1.50000E+02 1.72426E-08 1.22515E-07 1.84771E-06
 1.60000E+02 1.32706E-08 9.40443E-08 1.22457E-06
 1.80000E+02 7.02879E-09 4.90204E-08 6.38496E-07
 2.00000E+02 3.94113E-09 2.74635E-08 2.94178E-07
