# p + 181Ta   : (p,2nt2a)         Total
# Q-value    =-1.58164E+01
# E-threshold= 1.59044E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 6.56960E-20 5.42022E-21 0.00000E+00
 4.50000E+01 6.50390E-16 1.05741E-16 0.00000E+00
 5.00000E+01 7.91921E-12 3.17474E-11 9.79991E-01
 5.50000E+01 3.67464E-10 1.65501E-09 8.58879E-01
 6.00000E+01 9.26954E-09 5.10116E-08 4.11866E-01
 6.50000E+01 8.40386E-08 5.57061E-07 1.60153E-01
 7.00000E+01 2.63339E-07 1.96044E-06 7.03059E-02
 7.50000E+01 4.07616E-07 3.28013E-06 3.72259E-02
 8.00000E+01 4.28765E-07 3.60927E-06 2.71868E-02
 9.00000E+01 5.53459E-07 4.87720E-06 2.29677E-02
 1.00000E+02 5.38616E-07 4.61292E-06 4.36679E-03
 1.10000E+02 3.88301E-07 2.93489E-06 4.51528E-04
 1.20000E+02 3.63201E-07 2.73394E-06 1.42342E-04
 1.30000E+02 2.74392E-07 1.99027E-06 5.86885E-05
 1.40000E+02 2.06549E-07 1.45526E-06 2.59289E-05
 1.50000E+02 1.64878E-07 1.15159E-06 1.97447E-05
 1.60000E+02 1.19496E-07 8.31532E-07 1.19960E-05
 1.80000E+02 4.44412E-08 3.07533E-07 4.14512E-06
 2.00000E+02 2.52208E-08 1.74738E-07 2.93684E-06
