# p + 181Ta   : (p,t2a)           Total
# Q-value    =-1.73866E+00
# E-threshold= 1.74834E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 1.69615E-19 1.69819E-20 0.00000E+00
 3.00000E+01 4.73238E-18 4.39331E-19 0.00000E+00
 3.50000E+01 9.42896E-16 9.84031E-17 0.00000E+00
 4.00000E+01 1.01911E-12 4.17516E-12 9.12490E-01
 4.50000E+01 2.39990E-11 1.33146E-10 3.77129E-01
 5.00000E+01 3.21990E-10 2.25505E-09 5.08690E-02
 5.50000E+01 1.72900E-09 1.37155E-08 1.11697E-02
 6.00000E+01 3.56109E-09 3.03943E-08 3.58414E-03
 6.50000E+01 4.86968E-09 4.38737E-08 2.20083E-03
 7.00000E+01 5.77930E-09 5.44751E-08 2.09262E-03
 7.50000E+01 5.95110E-09 5.76898E-08 2.01271E-03
 8.00000E+01 5.73271E-09 5.69692E-08 1.27823E-03
 9.00000E+01 4.14522E-09 3.73493E-08 8.93775E-05
 1.00000E+02 2.40051E-09 1.87854E-08 6.72411E-06
 1.10000E+02 1.46618E-09 1.10325E-08 1.53780E-06
 1.20000E+02 1.08204E-09 7.96078E-09 5.52852E-07
 1.30000E+02 8.69253E-10 6.47143E-09 3.29734E-07
 1.40000E+02 6.82740E-10 5.15599E-09 2.06888E-07
 1.50000E+02 5.21307E-10 3.95819E-09 1.38799E-07
 1.60000E+02 4.08739E-10 3.07412E-09 9.46091E-08
 1.80000E+02 2.89141E-10 2.15125E-09 5.41749E-08
 2.00000E+02 1.96680E-10 1.46279E-09 2.73497E-08
