# p + 181Ta   : (p,2p2a)          Total
# Q-value    =-4.09349E+00
# E-threshold= 4.11628E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 2.50932E-18 3.27686E-21 0.00000E+00
 5.00000E+01 2.71185E-16 1.54601E-19 0.00000E+00
 5.50000E+01 5.62148E-15 2.98383E-18 0.00000E+00
 6.00000E+01 6.84763E-12 3.72638E-11 9.99994E-01
 6.50000E+01 7.10261E-11 4.44049E-10 9.99989E-01
 7.00000E+01 3.12852E-10 2.04711E-09 9.99977E-01
 7.50000E+01 6.77352E-10 4.50710E-09 9.99941E-01
 8.00000E+01 1.05066E-09 7.19499E-09 9.97453E-01
 9.00000E+01 1.64734E-09 1.17068E-08 5.91624E-01
 1.00000E+02 2.29734E-09 1.52230E-08 7.11792E-02
 1.10000E+02 2.37814E-09 1.56270E-08 1.10959E-02
 1.20000E+02 2.16472E-09 1.45875E-08 3.83281E-03
 1.30000E+02 2.06163E-09 1.41934E-08 2.14945E-03
 1.40000E+02 2.08409E-09 1.41634E-08 1.46087E-03
 1.50000E+02 2.32701E-09 1.56770E-08 1.16607E-03
 1.60000E+02 2.74719E-09 1.84116E-08 9.54006E-04
 1.80000E+02 2.58280E-09 1.74965E-08 7.59807E-04
 2.00000E+02 1.84592E-09 1.25239E-08 6.51827E-04
