# p + 181Ta   : (p,n2d)           Total
# Q-value    =-2.26115E+01
# E-threshold= 2.27374E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 6.09821E-19 4.35124E-19 7.68250E-20
 3.50000E+01 2.20624E-11 2.79128E-11 3.43763E-12
 4.00000E+01 4.52748E-08 7.58703E-08 9.64231E-09
 4.50000E+01 1.97283E-06 5.65743E-06 4.55470E-07
 5.00000E+01 1.35485E-05 5.41745E-05 2.48630E-06
 5.50000E+01 3.25036E-05 1.50294E-04 4.34791E-06
 6.00000E+01 4.49197E-05 2.16458E-04 4.37070E-06
 6.50000E+01 4.62148E-05 2.17414E-04 3.43158E-06
 7.00000E+01 4.36862E-05 2.00364E-04 2.62971E-06
 7.50000E+01 4.06323E-05 1.80459E-04 2.10101E-06
 8.00000E+01 3.74093E-05 1.63825E-04 1.73992E-06
 9.00000E+01 2.94227E-05 1.25585E-04 1.17499E-06
 1.00000E+02 2.32440E-05 9.72460E-05 8.66624E-07
 1.10000E+02 1.77276E-05 7.33920E-05 6.20192E-07
 1.20000E+02 1.41335E-05 5.81299E-05 4.82990E-07
 1.30000E+02 1.13290E-05 4.62547E-05 3.80366E-07
 1.40000E+02 9.26654E-06 3.78225E-05 3.11680E-07
 1.50000E+02 7.62595E-06 3.08791E-05 2.56534E-07
 1.60000E+02 6.40887E-06 2.59316E-05 2.17722E-07
 1.80000E+02 4.58686E-06 1.84210E-05 1.59122E-07
 2.00000E+02 3.33470E-06 1.34590E-05 1.18746E-07
