# p + 181Ta   : (p,np2d)          Total
# Q-value    =-2.93988E+01
# E-threshold= 2.95625E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.50000E+01 1.83617E-16 4.79097E-16 1.20599E-13
 5.00000E+01 8.04011E-13 2.57611E-12 4.55608E-10
 5.50000E+01 1.50672E-10 6.69939E-10 8.50774E-08
 6.00000E+01 3.20771E-09 1.79552E-08 1.46585E-06
 6.50000E+01 2.56234E-08 1.44317E-07 5.31606E-06
 7.00000E+01 1.07488E-07 5.51160E-07 5.81509E-06
 7.50000E+01 2.77594E-07 1.31489E-06 4.40458E-06
 8.00000E+01 5.36805E-07 2.46980E-06 3.57776E-06
 9.00000E+01 1.10620E-06 5.11212E-06 2.74077E-06
 1.00000E+02 1.63558E-06 7.55914E-06 2.35559E-06
 1.10000E+02 1.99182E-06 9.29028E-06 2.09811E-06
 1.20000E+02 2.05585E-06 9.53537E-06 1.77519E-06
 1.30000E+02 2.07357E-06 9.67664E-06 1.56770E-06
 1.40000E+02 2.06255E-06 9.66489E-06 1.37654E-06
 1.50000E+02 1.96822E-06 9.18540E-06 1.22957E-06
 1.60000E+02 1.86442E-06 8.68971E-06 1.11869E-06
 1.80000E+02 1.73734E-06 8.13114E-06 9.47332E-07
 2.00000E+02 1.53123E-06 7.14867E-06 8.35700E-07
