# p + 181Ta   : (p,p2d)           Total
# Q-value    =-2.23259E+01
# E-threshold= 2.24502E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+01 1.36206E-16 1.86747E-16 1.20571E-12
 4.50000E+01 1.67732E-13 3.62185E-13 1.49649E-09
 5.00000E+01 1.02840E-11 3.67778E-11 6.54321E-08
 5.50000E+01 1.79526E-10 8.27061E-10 2.92125E-07
 6.00000E+01 1.11548E-09 5.33144E-09 2.26998E-07
 6.50000E+01 3.90581E-09 1.74005E-08 1.35172E-07
 7.00000E+01 1.03659E-08 4.57519E-08 1.29112E-07
 7.50000E+01 2.01293E-08 8.87331E-08 1.26553E-07
 8.00000E+01 3.10214E-08 1.37181E-07 1.23264E-07
 9.00000E+01 5.08528E-08 2.25646E-07 1.15475E-07
 1.00000E+02 6.72872E-08 2.99789E-07 1.10047E-07
 1.10000E+02 7.47056E-08 3.32072E-07 1.00617E-07
 1.20000E+02 7.38612E-08 3.28645E-07 8.62267E-08
 1.30000E+02 7.49820E-08 3.34198E-07 7.99544E-08
 1.40000E+02 6.73854E-08 2.99433E-07 6.84450E-08
 1.50000E+02 6.39820E-08 2.84491E-07 6.26991E-08
 1.60000E+02 6.46741E-08 2.89173E-07 5.96273E-08
 1.80000E+02 5.27310E-08 2.34167E-07 4.73169E-08
 2.00000E+02 4.85426E-08 2.16308E-07 4.22344E-08
