# p + 181Ta   : (p,2n2d)          Total
# Q-value    =-2.89871E+01
# E-threshold= 2.91485E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 4.06353E-19 4.44938E-19 5.66172E-20
 4.00000E+01 3.94620E-12 7.79831E-12 5.16099E-13
 4.50000E+01 3.54866E-08 1.09512E-07 5.31508E-09
 5.00000E+01 4.35311E-06 2.14766E-05 7.79770E-07
 5.50000E+01 4.49220E-05 3.03535E-04 7.97389E-06
 6.00000E+01 1.50530E-04 1.17146E-03 2.18077E-05
 6.50000E+01 2.62560E-04 2.10773E-03 2.82909E-05
 7.00000E+01 3.11738E-04 2.36703E-03 2.51154E-05
 7.50000E+01 3.31231E-04 2.38277E-03 2.07378E-05
 8.00000E+01 3.17303E-04 2.14723E-03 1.68265E-05
 9.00000E+01 2.64608E-04 1.65551E-03 1.10532E-05
 1.00000E+02 2.16050E-04 1.29682E-03 7.82508E-06
 1.10000E+02 1.76996E-04 1.03064E-03 5.80377E-06
 1.20000E+02 1.42929E-04 8.16425E-04 4.43769E-06
 1.30000E+02 1.18500E-04 6.74348E-04 3.55449E-06
 1.40000E+02 1.00127E-04 5.63197E-04 2.91689E-06
 1.50000E+02 8.53597E-05 4.82653E-04 2.47752E-06
 1.60000E+02 6.95004E-05 3.88942E-04 1.99475E-06
 1.80000E+02 5.29680E-05 2.96833E-04 1.50475E-06
 2.00000E+02 4.02400E-05 2.26124E-04 1.16969E-06
