# p + 181Ta   : (p,2d)            Total
# Q-value    =-1.49855E+01
# E-threshold= 1.50690E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 4.06337E-17 3.37414E-17 6.88761E-18
 2.60000E+01 1.77362E-14 1.93293E-14 4.37384E-15
 2.80000E+01 1.19590E-12 1.55882E-12 3.84455E-13
 3.00000E+01 2.28678E-11 3.84036E-11 9.20929E-12
 3.50000E+01 3.95840E-09 1.50618E-08 1.80049E-09
 4.00000E+01 1.34682E-07 7.14884E-07 3.86682E-08
 4.50000E+01 8.14325E-07 4.91141E-06 1.43395E-07
 5.00000E+01 1.55652E-06 9.66872E-06 1.79156E-07
 5.50000E+01 1.75447E-06 1.07580E-05 1.38257E-07
 6.00000E+01 1.67742E-06 1.01151E-05 1.01274E-07
 6.50000E+01 1.50733E-06 8.84406E-06 7.57490E-08
 7.00000E+01 1.36916E-06 7.96801E-06 5.98561E-08
 7.50000E+01 1.26018E-06 7.27256E-06 4.99791E-08
 8.00000E+01 1.14421E-06 6.55764E-06 4.17452E-08
 9.00000E+01 8.60064E-07 4.88105E-06 2.88653E-08
 1.00000E+02 7.32840E-07 4.17345E-06 2.31184E-08
 1.10000E+02 5.31894E-07 3.00164E-06 1.65638E-08
 1.20000E+02 4.38086E-07 2.47934E-06 1.34899E-08
 1.30000E+02 3.38062E-07 1.89693E-06 1.05715E-08
 1.40000E+02 2.78286E-07 1.56709E-06 8.75955E-09
 1.50000E+02 2.37995E-07 1.34180E-06 7.60535E-09
 1.60000E+02 1.87291E-07 1.04582E-06 6.13207E-09
 1.80000E+02 1.45838E-07 8.22301E-07 4.95952E-09
 2.00000E+02 9.70079E-08 5.41010E-07 3.53564E-09
