# p + 181Ta   : (p,2n2p)          Total
# Q-value    =-1.94347E+01
# E-threshold= 1.95429E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 2.91655E-16 1.81073E-16 4.94370E-17
 2.60000E+01 2.47270E-12 2.23156E-12 6.09778E-13
 2.80000E+01 7.10123E-10 9.28815E-10 2.28289E-10
 3.00000E+01 4.68279E-08 7.26919E-08 1.88585E-08
 3.50000E+01 3.26674E-04 6.14207E-04 1.48589E-04
 4.00000E+01 5.96411E-02 1.41118E-01 1.71235E-02
 4.50000E+01 8.84058E-01 2.55943E+00 1.55675E-01
 5.00000E+01 3.67820E+00 1.24517E+01 4.23363E-01
 5.50000E+01 8.12558E+00 2.97963E+01 6.40316E-01
 6.00000E+01 1.26018E+01 4.75883E+01 7.60829E-01
 6.50000E+01 1.64365E+01 6.26776E+01 8.26000E-01
 7.00000E+01 1.98507E+01 7.65398E+01 8.67823E-01
 7.50000E+01 2.25514E+01 8.71408E+01 8.94397E-01
 8.00000E+01 2.50318E+01 9.70389E+01 9.13259E-01
 9.00000E+01 2.79486E+01 1.08591E+02 9.38004E-01
 1.00000E+02 3.01691E+01 1.17844E+02 9.51724E-01
 1.10000E+02 3.08707E+01 1.20368E+02 9.61349E-01
 1.20000E+02 3.14182E+01 1.23169E+02 9.67451E-01
 1.30000E+02 3.10827E+01 1.21590E+02 9.71983E-01
 1.40000E+02 3.09822E+01 1.21374E+02 9.75221E-01
 1.50000E+02 3.05930E+01 1.20449E+02 9.77627E-01
 1.60000E+02 2.99150E+01 1.17248E+02 9.79445E-01
 1.80000E+02 2.88689E+01 1.14082E+02 9.81746E-01
 2.00000E+02 2.69773E+01 1.05994E+02 9.83240E-01
