# p + 181Ta   : (p,2p)            Total
# Q-value    =-5.94793E+00
# E-threshold= 5.98104E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 1.14807E-20 5.71094E-24 0.00000E+00
 1.00000E+01 7.25523E-17 9.50656E-20 0.00000E+00
 1.10000E+01 1.50540E-14 4.34055E-17 0.00000E+00
 1.20000E+01 2.29519E-12 3.20109E-12 1.00000E+00
 1.30000E+01 2.41269E-11 3.77325E-11 1.00000E+00
 1.40000E+01 1.23311E-10 1.99374E-10 1.00000E+00
 1.50000E+01 4.61328E-10 7.15439E-10 9.99998E-01
 1.60000E+01 1.85996E-09 2.77992E-09 9.99995E-01
 1.70000E+01 8.14832E-09 1.29533E-08 9.99992E-01
 1.80000E+01 3.21079E-08 5.61885E-08 9.99990E-01
 1.90000E+01 1.08191E-07 2.09106E-07 9.99990E-01
 2.00000E+01 1.06220E-05 3.35426E-05 9.99993E-01
 2.20000E+01 4.22251E-04 1.37183E-03 9.99992E-01
 2.40000E+01 6.57244E-03 2.19935E-02 9.99991E-01
 2.60000E+01 4.76187E-02 1.65295E-01 9.99989E-01
 2.80000E+01 2.04361E-01 7.43194E-01 9.99988E-01
 3.00000E+01 5.87467E-01 2.23359E+00 9.99987E-01
 3.50000E+01 2.95144E+00 1.21984E+01 9.99985E-01
 4.00000E+01 6.64371E+00 2.86060E+01 9.99980E-01
 4.50000E+01 1.02003E+01 4.46884E+01 9.99972E-01
 5.00000E+01 1.32176E+01 5.84326E+01 9.99969E-01
 5.50000E+01 1.55142E+01 6.89192E+01 9.99971E-01
 6.00000E+01 1.75021E+01 7.81883E+01 9.99973E-01
 6.50000E+01 1.89104E+01 8.46328E+01 9.99976E-01
 7.00000E+01 1.98889E+01 8.90278E+01 9.99976E-01
 7.50000E+01 2.09361E+01 9.41820E+01 9.99976E-01
 8.00000E+01 2.12949E+01 9.55363E+01 9.99977E-01
 9.00000E+01 2.20882E+01 9.95156E+01 9.99980E-01
 1.00000E+02 2.22636E+01 1.00492E+02 9.99981E-01
 1.10000E+02 2.17746E+01 9.80376E+01 9.99982E-01
 1.20000E+02 2.16496E+01 9.79353E+01 9.99981E-01
 1.30000E+02 2.07245E+01 9.33629E+01 9.99982E-01
 1.40000E+02 2.02328E+01 9.13736E+01 9.99982E-01
 1.50000E+02 1.96015E+01 8.84687E+01 9.99982E-01
 1.60000E+02 1.87489E+01 8.45180E+01 9.99983E-01
 1.80000E+02 1.77318E+01 8.01851E+01 9.99983E-01
 2.00000E+02 1.60864E+01 7.25527E+01 9.99982E-01
