# p + 181Ta   : (p,2n3a)          Total
# Q-value    =-1.57555E+00
# E-threshold= 1.58432E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.50000E+01 1.99217E-18 6.07993E-20 0.00000E+00
 4.00000E+01 6.26741E-16 4.53662E-17 0.00000E+00
 4.50000E+01 6.01349E-12 1.90689E-11 9.99994E-01
 5.00000E+01 6.63373E-10 2.58847E-09 9.99994E-01
 5.50000E+01 1.69056E-08 8.32357E-08 9.99990E-01
 6.00000E+01 1.19739E-07 7.43516E-07 9.99982E-01
 6.50000E+01 3.09648E-07 2.29697E-06 9.99951E-01
 7.00000E+01 3.90211E-07 3.25339E-06 9.99689E-01
 7.50000E+01 3.46994E-07 3.06955E-06 9.92576E-01
 8.00000E+01 3.12950E-07 2.76594E-06 8.89844E-01
 9.00000E+01 2.85340E-07 2.17809E-06 1.91695E-01
 1.00000E+02 2.55274E-07 1.81861E-06 4.59626E-02
 1.10000E+02 1.83975E-07 1.30243E-06 1.47966E-02
 1.20000E+02 8.73566E-08 6.07959E-07 4.11718E-03
 1.30000E+02 4.18051E-08 2.83768E-07 1.53684E-03
 1.40000E+02 2.56779E-08 1.67607E-07 5.59095E-04
 1.50000E+02 1.71080E-08 1.07799E-07 2.30428E-04
 1.60000E+02 1.23133E-08 7.49168E-08 1.18622E-04
 1.80000E+02 9.50516E-09 5.74854E-08 4.48898E-05
 2.00000E+02 8.39155E-09 5.09608E-08 2.05958E-05
