# p + 181Ta   : (p,3a)            Total
# Q-value    = 1.16846E+01
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 3.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 4.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 5.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 6.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 7.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 8.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 9.00000E+00 1.00000E-20 1.00000E-20 0.00000E+00
 1.00000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.10000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.20000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.30000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.40000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.50000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.60000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.70000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.80000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 1.90000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 2.00000E+01 1.00000E-20 1.00000E-20 0.00000E+00
 2.20000E+01 5.52184E-20 2.17506E-21 0.00000E+00
 2.40000E+01 6.74154E-19 2.83196E-20 0.00000E+00
 2.60000E+01 6.22929E-18 2.48520E-19 0.00000E+00
 2.80000E+01 4.46804E-17 1.00483E-18 0.00000E+00
 3.00000E+01 3.00452E-16 4.35619E-18 0.00000E+00
 3.50000E+01 1.32818E-14 6.75124E-17 0.00000E+00
 4.00000E+01 1.92658E-11 9.52107E-11 9.99986E-01
 4.50000E+01 2.37309E-10 1.52753E-09 9.99981E-01
 5.00000E+01 9.15916E-10 7.07182E-09 9.99962E-01
 5.50000E+01 1.40427E-09 1.29276E-08 9.99780E-01
 6.00000E+01 1.46111E-09 1.50143E-08 9.91354E-01
 6.50000E+01 1.39598E-09 1.42304E-08 8.07106E-01
 7.00000E+01 1.41318E-09 1.30756E-08 2.38686E-01
 7.50000E+01 1.34656E-09 1.11708E-08 4.00887E-02
 8.00000E+01 1.01803E-09 7.98349E-09 7.40426E-03
 9.00000E+01 4.82933E-10 3.53821E-09 7.38627E-04
 1.00000E+02 2.43941E-10 1.73689E-09 1.71099E-04
 1.10000E+02 1.53039E-10 1.09458E-09 7.50570E-05
 1.20000E+02 1.01678E-10 7.26918E-10 2.90584E-05
 1.30000E+02 6.86335E-11 4.75769E-10 8.49323E-06
 1.40000E+02 4.99555E-11 3.43473E-10 3.68222E-06
 1.50000E+02 4.06963E-11 2.78759E-10 2.04766E-06
 1.60000E+02 3.57679E-11 2.42731E-10 1.19132E-06
 1.80000E+02 3.02774E-11 2.05224E-10 5.68952E-07
 2.00000E+02 1.71777E-11 1.21815E-10 2.88182E-07
