# p + 181Ta   : (p,3n)            Total
# Q-value    =-1.60682E+01
# E-threshold= 1.61576E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 4.88016E+01 4.72370E+01 9.99984E-01
 1.80000E+01 2.37796E+02 4.00885E+02 9.99955E-01
 1.90000E+01 4.52166E+02 9.87695E+02 9.99892E-01
 2.00000E+01 6.20743E+02 1.64071E+03 9.99796E-01
 2.20000E+01 8.31948E+02 2.95150E+03 9.99560E-01
 2.40000E+01 9.49269E+02 4.25396E+03 9.99372E-01
 2.60000E+01 8.75424E+02 4.71039E+03 9.99133E-01
 2.80000E+01 6.50533E+02 4.01946E+03 9.98649E-01
 3.00000E+01 4.35904E+02 2.99084E+03 9.97690E-01
 3.50000E+01 1.85265E+02 1.43569E+03 9.91498E-01
 4.00000E+01 1.27419E+02 9.76035E+02 9.88120E-01
 4.50000E+01 1.02847E+02 7.62695E+02 9.91759E-01
 5.00000E+01 8.63396E+01 6.27337E+02 9.94724E-01
 5.50000E+01 7.40567E+01 5.31594E+02 9.95878E-01
 6.00000E+01 6.47958E+01 4.60085E+02 9.96029E-01
 6.50000E+01 5.62939E+01 3.98580E+02 9.96194E-01
 7.00000E+01 4.96666E+01 3.49918E+02 9.96293E-01
 7.50000E+01 4.41606E+01 3.09733E+02 9.95966E-01
 8.00000E+01 3.94580E+01 2.78125E+02 9.95601E-01
 9.00000E+01 3.21437E+01 2.25408E+02 9.95673E-01
 1.00000E+02 2.71289E+01 1.90418E+02 9.95688E-01
 1.10000E+02 2.31259E+01 1.61620E+02 9.94818E-01
 1.20000E+02 1.99475E+01 1.39247E+02 9.94147E-01
 1.30000E+02 1.77737E+01 1.23849E+02 9.93850E-01
 1.40000E+02 1.58809E+01 1.10462E+02 9.93915E-01
 1.50000E+02 1.43433E+01 9.93423E+01 9.94385E-01
 1.60000E+02 1.29932E+01 9.01444E+01 9.95144E-01
 1.80000E+02 1.10587E+01 7.70776E+01 9.95878E-01
 2.00000E+02 9.39503E+00 6.49728E+01 9.95541E-01
