# p + 181Ta   : (p,n3p)           Total
# Q-value    =-2.07498E+01
# E-threshold= 2.08653E+01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+01 1.47784E-20 2.09525E-20 1.40555E-08
 3.50000E+01 1.55040E-14 2.02842E-14 7.17009E-06
 4.00000E+01 3.83931E-09 5.95149E-09 1.25260E-02
 4.50000E+01 7.68406E-06 1.53743E-05 5.45456E-01
 5.00000E+01 5.56106E-04 1.34950E-03 9.50326E-01
 5.50000E+01 6.68009E-03 1.95038E-02 9.88102E-01
 6.00000E+01 2.97024E-02 9.89953E-02 9.90129E-01
 6.50000E+01 7.27123E-02 2.58044E-01 9.88826E-01
 7.00000E+01 1.22667E-01 4.52595E-01 9.88590E-01
 7.50000E+01 1.75866E-01 6.67478E-01 9.88632E-01
 8.00000E+01 2.21038E-01 8.45903E-01 9.89018E-01
 9.00000E+01 2.96574E-01 1.15744E+00 9.90278E-01
 1.00000E+02 3.53593E-01 1.40922E+00 9.91017E-01
 1.10000E+02 3.99699E-01 1.58711E+00 9.92047E-01
 1.20000E+02 4.25584E-01 1.70250E+00 9.92907E-01
 1.30000E+02 4.52368E-01 1.81138E+00 9.93701E-01
 1.40000E+02 4.63405E-01 1.87846E+00 9.94186E-01
 1.50000E+02 4.79759E-01 1.92078E+00 9.94807E-01
 1.60000E+02 4.91676E-01 1.98630E+00 9.95085E-01
 1.80000E+02 5.07697E-01 2.03676E+00 9.95672E-01
 2.00000E+02 5.12159E-01 2.08092E+00 9.95940E-01
