# p + 181Ta   : (p,g)             Total
# Q-value    = 7.09672E+00
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 3.70084E-10 2.12047E-09 1.00000E+00
 3.00000E+00 1.02358E-06 6.03092E-06 1.00000E+00
 4.00000E+00 8.86069E-05 5.28527E-04 1.00000E+00
 5.00000E+00 1.32730E-03 7.93128E-03 1.00000E+00
 6.00000E+00 7.44233E-03 4.34326E-02 1.00000E+00
 7.00000E+00 2.53002E-02 1.34928E-01 1.00000E+00
 8.00000E+00 6.97911E-02 3.29474E-01 1.00000E+00
 9.00000E+00 1.56995E-01 7.12417E-01 1.00000E+00
 1.00000E+01 2.74645E-01 1.30610E+00 1.00000E+00
 1.10000E+01 4.04157E-01 2.09190E+00 1.00000E+00
 1.20000E+01 5.32728E-01 3.01732E+00 1.00000E+00
 1.30000E+01 6.48192E-01 3.99736E+00 1.00000E+00
 1.40000E+01 7.31350E-01 4.83341E+00 1.00000E+00
 1.50000E+01 7.46637E-01 5.23591E+00 1.00000E+00
 1.60000E+01 7.07503E-01 5.16376E+00 1.00000E+00
 1.70000E+01 6.53631E-01 4.87256E+00 1.00000E+00
 1.80000E+01 5.97397E-01 4.45807E+00 1.00000E+00
 1.90000E+01 5.52876E-01 4.10753E+00 1.00000E+00
 2.00000E+01 5.12160E-01 3.73207E+00 1.00000E+00
 2.20000E+01 4.50879E-01 3.14870E+00 1.00000E+00
 2.40000E+01 4.11395E-01 2.76115E+00 1.00000E+00
 2.60000E+01 3.84669E-01 2.51858E+00 1.00000E+00
 2.80000E+01 3.66651E-01 2.35867E+00 1.00000E+00
 3.00000E+01 3.53587E-01 2.24695E+00 1.00000E+00
 3.50000E+01 3.16079E-01 2.00644E+00 1.00000E+00
 4.00000E+01 2.92547E-01 1.85333E+00 1.00000E+00
 4.50000E+01 2.72900E-01 1.72249E+00 1.00000E+00
 5.00000E+01 2.59706E-01 1.64176E+00 1.00000E+00
 5.50000E+01 2.37167E-01 1.49283E+00 1.00000E+00
 6.00000E+01 2.31631E-01 1.46211E+00 1.00000E+00
 6.50000E+01 2.10111E-01 1.32672E+00 1.00000E+00
 7.00000E+01 1.92144E-01 1.20748E+00 1.00000E+00
 7.50000E+01 1.87791E-01 1.19011E+00 1.00000E+00
 8.00000E+01 1.87012E-01 1.18450E+00 1.00000E+00
 9.00000E+01 1.54183E-01 9.70435E-01 1.00000E+00
 1.00000E+02 1.28006E-01 8.00868E-01 1.00000E+00
 1.10000E+02 1.26240E-01 7.94291E-01 1.00000E+00
 1.20000E+02 1.20658E-01 7.67033E-01 1.00000E+00
 1.30000E+02 1.09979E-01 6.98056E-01 1.00000E+00
 1.40000E+02 9.70861E-02 6.15983E-01 1.00000E+00
 1.50000E+02 8.10380E-02 5.12042E-01 1.00000E+00
 1.60000E+02 6.47114E-02 4.03693E-01 1.00000E+00
 1.80000E+02 4.84745E-02 3.00172E-01 1.00000E+00
 2.00000E+02 4.08089E-02 2.62218E-01 1.00000E+00
