# p + 181Ta   : (p,n)             Total
# Q-value    =-9.86846E-01
# E-threshold= 9.92339E-01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 8.21160E-09 1.38538E-08 9.96898E-01
 3.00000E+00 4.84912E-05 1.07154E-04 9.90492E-01
 4.00000E+00 7.43201E-03 2.01324E-02 9.85057E-01
 5.00000E+00 2.10667E-01 6.68342E-01 9.83118E-01
 6.00000E+00 2.30945E+00 8.30652E+00 9.84472E-01
 7.00000E+00 1.36485E+01 5.46612E+01 9.87624E-01
 8.00000E+00 4.80165E+01 2.10785E+02 9.90255E-01
 9.00000E+00 6.37701E+01 2.97779E+02 9.86345E-01
 1.00000E+01 5.76798E+01 2.88091E+02 9.79569E-01
 1.10000E+01 4.93767E+01 2.65448E+02 9.73893E-01
 1.20000E+01 4.34771E+01 2.51383E+02 9.71280E-01
 1.30000E+01 4.09490E+01 2.52096E+02 9.71561E-01
 1.40000E+01 4.01832E+01 2.60057E+02 9.72693E-01
 1.50000E+01 4.05279E+01 2.71979E+02 9.72955E-01
 1.60000E+01 4.12546E+01 2.83750E+02 9.72252E-01
 1.70000E+01 4.18601E+01 2.92654E+02 9.71317E-01
 1.80000E+01 4.21523E+01 2.97305E+02 9.70213E-01
 1.90000E+01 4.22042E+01 2.99999E+02 9.69263E-01
 2.00000E+01 4.19288E+01 2.99106E+02 9.68459E-01
 2.20000E+01 4.05974E+01 2.90407E+02 9.68494E-01
 2.40000E+01 3.90931E+01 2.80485E+02 9.72735E-01
 2.60000E+01 3.74251E+01 2.69358E+02 9.78740E-01
 2.80000E+01 3.55891E+01 2.56800E+02 9.83407E-01
 3.00000E+01 3.36500E+01 2.42035E+02 9.86117E-01
 3.50000E+01 2.92258E+01 2.10065E+02 9.88445E-01
 4.00000E+01 2.52531E+01 1.82159E+02 9.88476E-01
 4.50000E+01 2.15550E+01 1.56162E+02 9.87824E-01
 5.00000E+01 1.88022E+01 1.35065E+02 9.86849E-01
 5.50000E+01 1.59952E+01 1.16207E+02 9.85986E-01
 6.00000E+01 1.42158E+01 1.02667E+02 9.84576E-01
 6.50000E+01 1.20662E+01 8.72841E+01 9.83513E-01
 7.00000E+01 1.06855E+01 7.70342E+01 9.83232E-01
 7.50000E+01 9.30691E+00 6.75593E+01 9.80831E-01
 8.00000E+01 8.33553E+00 6.01318E+01 9.78616E-01
 9.00000E+01 6.71177E+00 4.85546E+01 9.78475E-01
 1.00000E+02 5.56918E+00 4.02041E+01 9.78602E-01
 1.10000E+02 4.72441E+00 3.40358E+01 9.74678E-01
 1.20000E+02 4.08467E+00 2.93694E+01 9.71783E-01
 1.30000E+02 3.58912E+00 2.57903E+01 9.70674E-01
 1.40000E+02 3.22974E+00 2.33260E+01 9.71212E-01
 1.50000E+02 2.88040E+00 2.06793E+01 9.73061E-01
 1.60000E+02 2.62119E+00 1.88765E+01 9.76685E-01
 1.80000E+02 2.19450E+00 1.59062E+01 9.79539E-01
 2.00000E+02 1.85711E+00 1.35132E+01 9.77044E-01
