# p + 181Ta Total neutron  production
# Q-value    =-9.86846E-01
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 8.23717E-09 9.49478E-01
 3.00000E+00 4.89573E-05 9.79471E-01
 4.00000E+00 7.54497E-03 9.88384E-01
 5.00000E+00 2.14296E-01 9.93731E-01
 6.00000E+00 2.34609E+00 9.95639E-01
 7.00000E+00 1.38215E+01 9.91048E-01
 8.00000E+00 5.30860E+01 1.01727E+00
 9.00000E+00 1.85001E+02 1.39624E+00
 1.00000E+01 3.91167E+02 1.58353E+00
 1.10000E+01 6.17595E+02 1.63864E+00
 1.20000E+01 8.42510E+02 1.64152E+00
 1.30000E+01 1.05563E+03 1.61988E+00
 1.40000E+01 1.25354E+03 1.59509E+00
 1.50000E+01 1.43494E+03 1.57717E+00
 1.60000E+01 1.59723E+03 1.56690E+00
 1.70000E+01 1.78727E+03 1.60527E+00
 1.80000E+01 2.09774E+03 1.75673E+00
 1.90000E+01 2.41392E+03 1.90795E+00
 2.00000E+01 2.65211E+03 1.99547E+00
 2.20000E+01 3.00614E+03 2.09101E+00
 2.40000E+01 3.28431E+03 2.15571E+00
 2.60000E+01 3.57562E+03 2.24257E+00
 2.80000E+01 3.96239E+03 2.39383E+00
 3.00000E+01 4.30494E+03 2.52291E+00
 3.50000E+01 4.82819E+03 2.68841E+00
 4.00000E+01 5.39924E+03 2.91174E+00
 4.50000E+01 5.76682E+03 3.05944E+00
 5.00000E+01 6.08435E+03 3.20401E+00
 5.50000E+01 6.32105E+03 3.32669E+00
 6.00000E+01 6.55065E+03 3.46052E+00
 6.50000E+01 6.75870E+03 3.59454E+00
 7.00000E+01 6.95862E+03 3.73313E+00
 7.50000E+01 7.14946E+03 3.87358E+00
 8.00000E+01 7.35157E+03 4.02546E+00
 9.00000E+01 7.80025E+03 4.36573E+00
 1.00000E+02 8.24454E+03 4.71491E+00
 1.10000E+02 8.72283E+03 5.09086E+00
 1.20000E+02 9.23633E+03 5.49242E+00
 1.30000E+02 9.74000E+03 5.89132E+00
 1.40000E+02 1.02688E+04 6.30722E+00
 1.50000E+02 1.07775E+04 6.71144E+00
 1.60000E+02 1.13078E+04 7.12909E+00
 1.80000E+02 1.23950E+04 7.98028E+00
 2.00000E+02 1.20960E+04 7.92115E+00
