# h + 136Xe Total alpha    production
# Q-value    = 1.24903E+01
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 1.11258E-17 4.42904E-05
 5.00000E+00 1.18196E-10 1.41306E-01
 6.00000E+00 4.20215E-08 1.61998E-01
 7.00000E+00 3.23987E-06 1.69177E-01
 8.00000E+00 1.04103E-04 1.87346E-01
 9.00000E+00 1.51962E-03 1.79281E-01
 1.00000E+01 1.18454E-02 1.45770E-01
 1.10000E+01 6.32004E-02 1.15224E-01
 1.20000E+01 2.53125E-01 9.03090E-02
 1.30000E+01 6.65946E-01 5.89166E-02
 1.40000E+01 1.80104E+00 4.95260E-02
 1.50000E+01 3.68393E+00 3.99978E-02
 1.60000E+01 5.96676E+00 3.25664E-02
 1.70000E+01 7.99067E+00 2.68541E-02
 1.80000E+01 9.32834E+00 2.22891E-02
 1.90000E+01 1.00650E+01 1.87903E-02
 2.00000E+01 1.03326E+01 1.60310E-02
 2.20000E+01 9.99855E+00 1.19816E-02
 2.40000E+01 9.10699E+00 9.18774E-03
 2.60000E+01 8.10111E+00 7.22243E-03
 2.80000E+01 7.12771E+00 5.78750E-03
 3.00000E+01 6.66410E+00 5.02978E-03
 3.50000E+01 4.76576E+00 3.16592E-03
 4.00000E+01 3.64305E+00 2.22986E-03
 4.50000E+01 2.89536E+00 1.67529E-03
 5.00000E+01 2.60325E+00 1.44665E-03
 5.50000E+01 2.54118E+00 1.37054E-03
 6.00000E+01 2.77197E+00 1.46155E-03
 6.50000E+01 3.34246E+00 1.73203E-03
 7.00000E+01 4.21374E+00 2.15437E-03
 7.50000E+01 5.44573E+00 2.75531E-03
 8.00000E+01 7.21994E+00 3.62341E-03
 9.00000E+01 1.35745E+01 6.73735E-03
 1.00000E+02 2.88384E+01 1.42243E-02
 1.10000E+02 6.21003E+01 3.05403E-02
 1.20000E+02 1.23944E+02 6.09144E-02
 1.30000E+02 2.15291E+02 1.05913E-01
 1.40000E+02 3.33511E+02 1.64435E-01
 1.50000E+02 4.68075E+02 2.31503E-01
 1.60000E+02 5.86866E+02 2.91364E-01
 1.80000E+02 8.46091E+02 4.23906E-01
 2.00000E+02 1.12721E+03 5.70647E-01
