# h + 136Xe Total deuteron production
# Q-value    = 1.91193E+00
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 2.53052E-20 1.00737E-07
 5.00000E+00 4.29423E-10 5.13385E-01
 6.00000E+00 1.45569E-07 5.61183E-01
 7.00000E+00 1.13758E-05 5.94013E-01
 8.00000E+00 3.24786E-04 5.84492E-01
 9.00000E+00 4.55218E-03 5.37056E-01
 1.00000E+01 3.73423E-02 4.59535E-01
 1.10000E+01 2.08123E-01 3.79441E-01
 1.20000E+01 8.70306E-01 3.10504E-01
 1.30000E+01 2.89034E+00 2.55710E-01
 1.40000E+01 7.58437E+00 2.08559E-01
 1.50000E+01 1.58537E+01 1.72130E-01
 1.60000E+01 2.62868E+01 1.43473E-01
 1.70000E+01 3.59447E+01 1.20798E-01
 1.80000E+01 4.28462E+01 1.02377E-01
 1.90000E+01 4.73642E+01 8.84235E-02
 2.00000E+01 4.98517E+01 7.73451E-02
 2.20000E+01 5.03459E+01 6.03311E-02
 2.40000E+01 4.79969E+01 4.84225E-02
 2.60000E+01 4.47344E+01 3.98823E-02
 2.80000E+01 4.12261E+01 3.34744E-02
 3.00000E+01 3.77963E+01 2.85270E-02
 3.50000E+01 3.10102E+01 2.06003E-02
 4.00000E+01 2.57698E+01 1.57733E-02
 4.50000E+01 2.18175E+01 1.26239E-02
 5.00000E+01 1.89040E+01 1.05052E-02
 5.50000E+01 1.65843E+01 8.94442E-03
 6.00000E+01 1.48870E+01 7.84937E-03
 6.50000E+01 1.35898E+01 7.04208E-03
 7.00000E+01 1.27077E+01 6.49713E-03
 7.50000E+01 1.21569E+01 6.15087E-03
 8.00000E+01 1.19361E+01 5.99030E-03
 9.00000E+01 1.24769E+01 6.19258E-03
 1.00000E+02 1.41526E+01 6.98063E-03
 1.10000E+02 1.74765E+01 8.59475E-03
 1.20000E+02 2.15749E+01 1.06033E-02
 1.30000E+02 2.89751E+01 1.42544E-02
 1.40000E+02 3.71729E+01 1.83278E-02
 1.50000E+02 5.17561E+01 2.55978E-02
 1.60000E+02 7.44053E+01 3.69404E-02
 1.80000E+02 1.70600E+02 8.54736E-02
 2.00000E+02 3.81614E+02 1.93191E-01
