# h + 136Xe Total gamma    production
# Q-value    = 1.34158E+01
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 2.52315E-16 1.00444E-03
 5.00000E+00 1.79544E-09 2.14649E+00
 6.00000E+00 5.68032E-07 2.18982E+00
 7.00000E+00 4.36014E-05 2.27674E+00
 8.00000E+00 1.26697E-03 2.28006E+00
 9.00000E+00 1.92753E-02 2.27406E+00
 1.00000E+01 1.90291E-01 2.34173E+00
 1.10000E+01 1.29552E+00 2.36194E+00
 1.20000E+01 6.68947E+00 2.38664E+00
 1.30000E+01 2.79078E+01 2.46902E+00
 1.40000E+01 9.16417E+01 2.52002E+00
 1.50000E+01 2.36386E+02 2.56653E+00
 1.60000E+01 4.70532E+02 2.56815E+00
 1.70000E+01 7.52460E+02 2.52877E+00
 1.80000E+01 1.02388E+03 2.44646E+00
 1.90000E+01 1.27474E+03 2.37979E+00
 2.00000E+01 1.50503E+03 2.33506E+00
 2.20000E+01 1.92278E+03 2.30413E+00
 2.40000E+01 2.32591E+03 2.34653E+00
 2.60000E+01 2.70769E+03 2.41401E+00
 2.80000E+01 3.04162E+03 2.46971E+00
 3.00000E+01 3.34473E+03 2.52445E+00
 3.50000E+01 4.12368E+03 2.73939E+00
 4.00000E+01 4.85348E+03 2.97074E+00
 4.50000E+01 5.55448E+03 3.21389E+00
 5.00000E+01 6.23032E+03 3.46225E+00
 5.50000E+01 6.74938E+03 3.64015E+00
 6.00000E+01 7.16068E+03 3.77555E+00
 6.50000E+01 7.56497E+03 3.92008E+00
 7.00000E+01 7.93257E+03 4.05572E+00
 7.50000E+01 8.18224E+03 4.13987E+00
 8.00000E+01 8.40393E+03 4.21761E+00
 9.00000E+01 8.79221E+03 4.36379E+00
 1.00000E+02 9.13848E+03 4.50747E+00
 1.10000E+02 9.28099E+03 4.56429E+00
 1.20000E+02 9.51003E+03 4.67385E+00
 1.30000E+02 9.64203E+03 4.74344E+00
 1.40000E+02 9.49649E+03 4.68218E+00
 1.50000E+02 9.43807E+03 4.66792E+00
 1.60000E+02 9.23030E+03 4.58261E+00
 1.80000E+02 8.68049E+03 4.34907E+00
 2.00000E+02 7.76973E+03 3.93340E+00
