# h + 136Xe Total helium-3 production
# Q-value    = 0.00000E+00
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 1.00987E-35 4.02017E-23
 5.00000E+00 1.27748E-19 1.52725E-10
 6.00000E+00 1.85040E-19 7.13351E-13
 7.00000E+00 4.12699E-15 2.15500E-10
 8.00000E+00 8.05119E-12 1.44891E-08
 9.00000E+00 2.87344E-09 3.39003E-07
 1.00000E+01 3.16491E-07 3.89474E-06
 1.10000E+01 1.48699E-05 2.71102E-05
 1.20000E+01 3.66256E-04 1.30671E-04
 1.30000E+01 5.36613E-03 4.74744E-04
 1.40000E+01 4.97776E-02 1.36881E-03
 1.50000E+01 2.98053E-01 3.23608E-03
 1.60000E+01 1.17264E+00 6.40024E-03
 1.70000E+01 3.18932E+00 1.07183E-02
 1.80000E+01 6.45176E+00 1.54158E-02
 1.90000E+01 1.04275E+01 1.94669E-02
 2.00000E+01 1.43843E+01 2.23173E-02
 2.20000E+01 2.14605E+01 2.57168E-02
 2.40000E+01 2.83461E+01 2.85974E-02
 2.60000E+01 3.39440E+01 3.02623E-02
 2.80000E+01 3.60757E+01 2.92925E-02
 3.00000E+01 3.69585E+01 2.78947E-02
 3.50000E+01 3.66958E+01 2.43772E-02
 4.00000E+01 3.55367E+01 2.17515E-02
 4.50000E+01 3.43965E+01 1.99023E-02
 5.00000E+01 3.41154E+01 1.89583E-02
 5.50000E+01 3.37811E+01 1.82192E-02
 6.00000E+01 3.34207E+01 1.76215E-02
 6.50000E+01 3.33809E+01 1.72976E-02
 7.00000E+01 3.33091E+01 1.70300E-02
 7.50000E+01 3.33733E+01 1.68855E-02
 8.00000E+01 3.34126E+01 1.67685E-02
 9.00000E+01 3.37183E+01 1.67352E-02
 1.00000E+02 3.41855E+01 1.68616E-02
 1.10000E+02 3.47045E+01 1.70673E-02
 1.20000E+02 3.52892E+01 1.73434E-02
 1.30000E+02 3.59656E+01 1.76934E-02
 1.40000E+02 3.68783E+01 1.81826E-02
 1.50000E+02 3.79045E+01 1.87470E-02
 1.60000E+02 3.89579E+01 1.93416E-02
 1.80000E+02 4.18210E+01 2.09530E-02
 2.00000E+02 4.46710E+01 2.26146E-02
