# h + 136Xe Total neutron  production
# Q-value    = 8.69236E+00
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 2.50937E-13 9.98955E-01
 5.00000E+00 3.73584E-10 4.46628E-01
 6.00000E+00 9.68585E-08 3.73400E-01
 7.00000E+00 6.16535E-06 3.21937E-01
 8.00000E+00 1.52474E-04 2.74396E-01
 9.00000E+00 2.17218E-03 2.56270E-01
 1.00000E+01 2.38216E-02 2.93149E-01
 1.10000E+01 1.68238E-01 3.06725E-01
 1.20000E+01 8.69810E-01 3.10327E-01
 1.30000E+01 3.47363E+00 3.07314E-01
 1.40000E+01 1.10654E+01 3.04282E-01
 1.50000E+01 2.85610E+01 3.10097E-01
 1.60000E+01 6.07244E+01 3.31432E-01
 1.70000E+01 1.08836E+02 3.65764E-01
 1.80000E+01 1.72117E+02 4.11254E-01
 1.90000E+01 2.48048E+02 4.63077E-01
 2.00000E+01 3.31215E+02 5.13882E-01
 2.20000E+01 5.10869E+02 6.12191E-01
 2.40000E+01 6.92452E+02 6.98592E-01
 2.60000E+01 8.81353E+02 7.85757E-01
 2.80000E+01 1.08408E+03 8.80239E-01
 3.00000E+01 1.31004E+03 9.88764E-01
 3.50000E+01 1.89602E+03 1.25954E+00
 4.00000E+01 2.50232E+03 1.53163E+00
 4.50000E+01 3.10939E+03 1.79913E+00
 5.00000E+01 3.73354E+03 2.07476E+00
 5.50000E+01 4.35831E+03 2.35057E+00
 6.00000E+01 5.01992E+03 2.64681E+00
 6.50000E+01 5.68283E+03 2.94478E+00
 7.00000E+01 6.36337E+03 3.25342E+00
 7.50000E+01 7.06357E+03 3.57387E+00
 8.00000E+01 7.77623E+03 3.90260E+00
 9.00000E+01 9.26525E+03 4.59857E+00
 1.00000E+02 1.08303E+04 5.34196E+00
 1.10000E+02 1.23773E+04 6.08701E+00
 1.20000E+02 1.39348E+04 6.84849E+00
 1.30000E+02 1.54174E+04 7.58464E+00
 1.40000E+02 1.69599E+04 8.36197E+00
 1.50000E+02 1.85170E+04 9.15822E+00
 1.60000E+02 2.00137E+04 9.93630E+00
 1.80000E+02 2.31559E+04 1.16015E+01
 2.00000E+02 2.60600E+04 1.31928E+01
