# h + 136Xe Total proton   production
# Q-value    = 4.10001E+00
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 3.68148E-18 1.46556E-05
 5.00000E+00 5.23022E-12 6.25284E-03
 6.00000E+00 2.29757E-09 8.85737E-03
 7.00000E+00 2.11056E-07 1.10207E-02
 8.00000E+00 7.07301E-06 1.27288E-02
 9.00000E+00 1.20327E-04 1.41959E-02
 1.00000E+01 2.78331E-03 3.42515E-02
 1.10000E+01 2.60832E-02 4.75537E-02
 1.20000E+01 1.41421E-01 5.04556E-02
 1.30000E+01 5.63589E-01 4.98610E-02
 1.40000E+01 1.70660E+00 4.69290E-02
 1.50000E+01 4.01781E+00 4.36229E-02
 1.60000E+01 7.38961E+00 4.03323E-02
 1.70000E+01 1.11028E+01 3.73130E-02
 1.80000E+01 1.44427E+01 3.45094E-02
 1.90000E+01 1.72951E+01 3.22880E-02
 2.00000E+01 1.97648E+01 3.06652E-02
 2.20000E+01 2.34947E+01 2.81545E-02
 2.40000E+01 2.63534E+01 2.65871E-02
 2.60000E+01 2.89459E+01 2.58063E-02
 2.80000E+01 3.14580E+01 2.55430E-02
 3.00000E+01 3.42142E+01 2.58234E-02
 3.50000E+01 4.20247E+01 2.79173E-02
 4.00000E+01 5.13293E+01 3.14179E-02
 4.50000E+01 6.19029E+01 3.58179E-02
 5.00000E+01 7.48386E+01 4.15886E-02
 5.50000E+01 8.93225E+01 4.81744E-02
 6.00000E+01 1.06886E+02 5.63569E-02
 6.50000E+01 1.26492E+02 6.55466E-02
 7.00000E+01 1.48768E+02 7.60610E-02
 7.50000E+01 1.73463E+02 8.77651E-02
 8.00000E+01 2.00612E+02 1.00680E-01
 9.00000E+01 2.68224E+02 1.33126E-01
 1.00000E+02 3.58200E+02 1.76679E-01
 1.10000E+02 4.73730E+02 2.32975E-01
 1.20000E+02 6.29694E+02 3.09473E-01
 1.30000E+02 8.24273E+02 4.05505E-01
 1.40000E+02 1.06128E+03 5.23255E-01
 1.50000E+02 1.36655E+03 6.75875E-01
 1.60000E+02 1.73135E+03 8.59571E-01
 1.80000E+02 2.59492E+03 1.30010E+00
 2.00000E+02 3.68936E+03 1.86773E+00
