# h + 136Xe   : (h,t)             Total
# Q-value    =-1.09053E-01
# E-threshold= 1.11473E-01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 1.02183E-14 0.00000E+00 0.00000E+00
 6.00000E+00 1.27474E-10 9.29141E-11 1.00000E+00
 7.00000E+00 1.25412E-07 1.22037E-07 9.94036E-01
 8.00000E+00 2.10667E-05 2.73651E-05 9.76882E-01
 9.00000E+00 9.65963E-04 1.65039E-03 9.68138E-01
 1.00000E+01 1.75666E-02 3.76157E-02 9.54314E-01
 1.10000E+01 1.80942E-01 4.41386E-01 9.44193E-01
 1.20000E+01 1.22073E+00 3.27622E+00 9.30882E-01
 1.30000E+01 6.02848E+00 1.73068E+01 9.28838E-01
 1.40000E+01 2.17480E+01 6.65790E+01 9.23840E-01
 1.50000E+01 5.88289E+01 1.89633E+02 9.21861E-01
 1.60000E+01 1.19326E+02 4.00660E+02 9.19046E-01
 1.70000E+01 1.90645E+02 6.60834E+02 9.15219E-01
 1.80000E+01 2.55849E+02 9.01582E+02 9.11421E-01
 1.90000E+01 3.06490E+02 1.10232E+03 9.05769E-01
 2.00000E+01 3.42770E+02 1.25415E+03 8.99935E-01
 2.20000E+01 3.76303E+02 1.41432E+03 8.90350E-01
 2.40000E+01 3.77993E+02 1.44648E+03 8.82257E-01
 2.60000E+01 3.63037E+02 1.40757E+03 8.76210E-01
 2.80000E+01 3.45122E+02 1.33568E+03 8.74631E-01
 3.00000E+01 3.17613E+02 1.24156E+03 8.73466E-01
 3.50000E+01 2.52688E+02 1.00770E+03 8.79049E-01
 4.00000E+01 1.99106E+02 8.01869E+02 8.88503E-01
 4.50000E+01 1.63235E+02 6.43388E+02 8.99725E-01
 5.00000E+01 1.27221E+02 5.16103E+02 9.02180E-01
 5.50000E+01 1.06159E+02 4.19406E+02 9.09109E-01
 6.00000E+01 8.47445E+01 3.39718E+02 9.09892E-01
 6.50000E+01 7.07997E+01 2.82596E+02 9.11142E-01
 7.00000E+01 5.72221E+01 2.30330E+02 9.09403E-01
 7.50000E+01 4.77594E+01 1.91699E+02 9.07502E-01
 8.00000E+01 4.01071E+01 1.58536E+02 9.06008E-01
 9.00000E+01 2.85140E+01 1.11983E+02 8.97560E-01
 1.00000E+02 1.98375E+01 7.81028E+01 8.82111E-01
 1.10000E+02 1.45136E+01 5.75230E+01 8.67259E-01
 1.20000E+02 1.08535E+01 4.32739E+01 8.49184E-01
 1.30000E+02 8.26847E+00 3.29891E+01 8.29857E-01
 1.40000E+02 6.35792E+00 2.54656E+01 8.06380E-01
 1.50000E+02 5.01499E+00 1.97729E+01 7.84948E-01
 1.60000E+02 3.99514E+00 1.57825E+01 7.58992E-01
 1.80000E+02 2.59973E+00 9.92615E+00 7.05023E-01
 2.00000E+02 1.71672E+00 6.61342E+00 6.37745E-01
