# h + 136Xe   : (h,nt)            Total
# Q-value    =-6.93743E+00
# E-threshold= 7.09138E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 7.45038E-11 3.64389E-12 1.00000E+00
 1.10000E+01 1.58513E-07 2.53201E-08 1.00000E+00
 1.20000E+01 9.33599E-05 1.65769E-05 1.00000E+00
 1.30000E+01 5.77632E-03 1.74442E-03 1.00000E+00
 1.40000E+01 1.65055E-01 6.06569E-02 9.99998E-01
 1.50000E+01 1.74388E+00 8.81723E-01 9.99970E-01
 1.60000E+01 8.94353E+00 6.17534E+00 9.99925E-01
 1.70000E+01 2.71502E+01 2.46870E+01 9.99853E-01
 1.80000E+01 6.09860E+01 6.68818E+01 9.99712E-01
 1.90000E+01 1.09004E+02 1.40868E+02 9.99460E-01
 2.00000E+01 1.66730E+02 2.50513E+02 9.99113E-01
 2.20000E+01 3.02543E+02 5.74062E+02 9.97949E-01
 2.40000E+01 4.41153E+02 1.00108E+03 9.95896E-01
 2.60000E+01 5.58964E+02 1.44155E+03 9.92473E-01
 2.80000E+01 6.34945E+02 1.78496E+03 9.87421E-01
 3.00000E+01 6.76263E+02 2.00744E+03 9.80369E-01
 3.50000E+01 6.65379E+02 2.13772E+03 9.58863E-01
 4.00000E+01 5.90464E+02 1.96789E+03 9.39568E-01
 4.50000E+01 5.03145E+02 1.69850E+03 9.29162E-01
 5.00000E+01 4.28900E+02 1.46986E+03 9.25747E-01
 5.50000E+01 3.60699E+02 1.23997E+03 9.26260E-01
 6.00000E+01 3.03359E+02 1.04809E+03 9.26723E-01
 6.50000E+01 2.53147E+02 8.78568E+02 9.27027E-01
 7.00000E+01 2.14653E+02 7.45521E+02 9.26281E-01
 7.50000E+01 1.79485E+02 6.26171E+02 9.24588E-01
 8.00000E+01 1.51832E+02 5.28546E+02 9.22265E-01
 9.00000E+01 1.08263E+02 3.78620E+02 9.14477E-01
 1.00000E+02 7.76681E+01 2.71197E+02 9.02789E-01
 1.10000E+02 5.76080E+01 2.00925E+02 8.90831E-01
 1.20000E+02 4.41265E+01 1.53595E+02 8.76174E-01
 1.30000E+02 3.36476E+01 1.16994E+02 8.59148E-01
 1.40000E+02 2.64526E+01 9.16636E+01 8.39613E-01
 1.50000E+02 2.05834E+01 7.05112E+01 8.17627E-01
 1.60000E+02 1.62910E+01 5.59710E+01 7.93387E-01
 1.80000E+02 1.06567E+01 3.62269E+01 7.38968E-01
 2.00000E+02 7.08579E+00 2.38494E+01 6.76846E-01
