# h + 136Xe Total triton   production
# Q-value    =-1.09053E-01
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 2.40524E-24 9.57502E-12
 5.00000E+00 1.27416E-14 1.52329E-05
 6.00000E+00 1.27581E-10 4.91837E-04
 7.00000E+00 1.25563E-07 6.55655E-03
 8.00000E+00 2.11046E-05 3.79802E-02
 9.00000E+00 9.68414E-04 1.14251E-01
 1.00000E+01 1.76274E-02 2.16923E-01
 1.10000E+01 1.81660E-01 3.31194E-01
 1.20000E+01 1.22616E+00 4.37464E-01
 1.30000E+01 6.06243E+00 5.36347E-01
 1.40000E+01 2.20205E+01 6.05534E-01
 1.50000E+01 6.08773E+01 6.60967E-01
 1.60000E+01 1.28885E+02 7.03452E-01
 1.70000E+01 2.18839E+02 7.35448E-01
 1.80000E+01 3.18373E+02 7.60719E-01
 1.90000E+01 4.17409E+02 7.79255E-01
 2.00000E+01 5.11863E+02 7.94158E-01
 2.20000E+01 6.82056E+02 8.17330E-01
 2.40000E+01 8.25354E+02 8.32673E-01
 2.60000E+01 9.46252E+02 8.43617E-01
 2.80000E+01 1.05154E+03 8.53823E-01
 3.00000E+01 1.14132E+03 8.61418E-01
 3.50000E+01 1.31594E+03 8.74189E-01
 4.00000E+01 1.43907E+03 8.80833E-01
 4.50000E+01 1.52872E+03 8.84538E-01
 5.00000E+01 1.59278E+03 8.85121E-01
 5.50000E+01 1.64234E+03 8.85763E-01
 6.00000E+01 1.67910E+03 8.85326E-01
 6.50000E+01 1.70743E+03 8.84773E-01
 7.00000E+01 1.72899E+03 8.83987E-01
 7.50000E+01 1.74535E+03 8.83074E-01
 8.00000E+01 1.75789E+03 8.82218E-01
 9.00000E+01 1.77313E+03 8.80047E-01
 1.00000E+02 1.78024E+03 8.78088E-01
 1.10000E+02 1.78095E+03 8.75852E-01
 1.20000E+02 1.77967E+03 8.74648E-01
 1.30000E+02 1.78124E+03 8.76290E-01
 1.40000E+02 1.78351E+03 8.79345E-01
 1.50000E+02 1.78889E+03 8.84757E-01
 1.60000E+02 1.79964E+03 8.93476E-01
 1.80000E+02 1.82370E+03 9.13705E-01
 2.00000E+02 1.97147E+03 9.98049E-01
