 p + 136Xe   : (p,2n)            Total
# Q-value    =-7.70119E+00
# E-threshold= 7.75827E+00
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 8.38051E+00 2.14184E-04 1.00000E+00
 9.00000E+00 1.67993E+02 8.82768E+01 9.99993E-01
 1.00000E+01 4.05952E+02 3.16888E+02 9.99967E-01
 1.10000E+01 5.98589E+02 6.57484E+02 9.99923E-01
 1.20000E+01 7.46192E+02 1.04477E+03 9.99865E-01
 1.30000E+01 8.55276E+02 1.42494E+03 9.99809E-01
 1.40000E+01 9.38311E+02 1.80819E+03 9.99765E-01
 1.50000E+01 1.00779E+03 2.21518E+03 9.99728E-01
 1.60000E+01 1.06670E+03 2.64416E+03 9.99695E-01
 1.70000E+01 1.10589E+03 3.04642E+03 9.99666E-01
 1.80000E+01 1.05191E+03 3.12119E+03 9.99610E-01
 1.90000E+01 8.66546E+02 2.68088E+03 9.99487E-01
 2.00000E+01 6.56168E+02 2.07424E+03 9.99270E-01
 2.20000E+01 3.49245E+02 1.11797E+03 9.98382E-01
 2.40000E+01 2.20300E+02 6.99581E+02 9.96469E-01
 2.60000E+01 1.69984E+02 5.33937E+02 9.93689E-01
 2.80000E+01 1.47423E+02 4.57523E+02 9.91173E-01
 3.00000E+01 1.33695E+02 4.10590E+02 9.89472E-01
 3.50000E+01 1.10592E+02 3.35611E+02 9.90342E-01
 4.00000E+01 9.28715E+01 2.81856E+02 9.93767E-01
 4.50000E+01 7.81132E+01 2.35241E+02 9.95041E-01
 5.00000E+01 6.74523E+01 2.03044E+02 9.95285E-01
 5.50000E+01 5.81283E+01 1.74416E+02 9.95138E-01
 6.00000E+01 5.00091E+01 1.49830E+02 9.94984E-01
 6.50000E+01 4.38482E+01 1.31112E+02 9.94640E-01
 7.00000E+01 3.88490E+01 1.16823E+02 9.94353E-01
 7.50000E+01 3.40986E+01 1.02482E+02 9.94270E-01
 8.00000E+01 2.99325E+01 8.99229E+01 9.93833E-01
 9.00000E+01 2.39816E+01 7.23437E+01 9.92772E-01
 1.00000E+02 1.97878E+01 5.93900E+01 9.92847E-01
 1.10000E+02 1.62649E+01 4.88524E+01 9.92727E-01
 1.20000E+02 1.41163E+01 4.23970E+01 9.91807E-01
 1.30000E+02 1.21143E+01 3.63860E+01 9.91091E-01
 1.40000E+02 1.09942E+01 3.30494E+01 9.90856E-01
 1.50000E+02 9.59612E+00 2.86637E+01 9.90887E-01
 1.60000E+02 8.81693E+00 2.65130E+01 9.91375E-01
 1.80000E+02 7.25143E+00 2.16473E+01 9.93101E-01
 2.00000E+02 6.22431E+00 1.86043E+01 9.93539E-01
