# p + 136Xe Total alpha    production
# Q-value    = 4.29316E+00
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 6.03910E-22 2.28241E-11
 2.00000E+00 5.39571E-15 7.39552E-11
 3.00000E+00 1.17384E-11 3.17937E-10
 4.00000E+00 5.41008E-09 4.68043E-09
 5.00000E+00 4.47329E-07 4.46464E-08
 6.00000E+00 1.02086E-05 2.36026E-07
 7.00000E+00 1.14332E-04 9.36665E-07
 8.00000E+00 7.90088E-04 3.08942E-06
 9.00000E+00 3.31014E-03 7.81261E-06
 1.00000E+01 9.96379E-03 1.69209E-05
 1.10000E+01 3.04461E-02 4.16022E-05
 1.20000E+01 8.60080E-02 1.01105E-04
 1.30000E+01 2.07697E-01 2.18861E-04
 1.40000E+01 4.29589E-01 4.15652E-04
 1.50000E+01 7.91023E-01 7.12704E-04
 1.60000E+01 1.35070E+00 1.14548E-03
 1.70000E+01 2.33336E+00 1.88201E-03
 1.80000E+01 4.58549E+00 3.55147E-03
 1.90000E+01 1.16630E+01 8.74040E-03
 2.00000E+01 1.49918E+01 1.09293E-02
 2.20000E+01 1.30383E+01 9.08098E-03
 2.40000E+01 9.62218E+00 6.45702E-03
 2.60000E+01 9.95392E+00 6.48569E-03
 2.80000E+01 1.06166E+01 6.76881E-03
 3.00000E+01 1.13283E+01 7.11204E-03
 3.50000E+01 1.28370E+01 7.85171E-03
 4.00000E+01 1.41187E+01 8.54540E-03
 4.50000E+01 1.48175E+01 8.97827E-03
 5.00000E+01 1.54670E+01 9.43660E-03
 5.50000E+01 1.60254E+01 9.89002E-03
 6.00000E+01 1.70044E+01 1.06391E-02
 6.50000E+01 1.84835E+01 1.17395E-02
 7.00000E+01 2.15083E+01 1.38747E-02
 7.50000E+01 2.70584E+01 1.77289E-02
 8.00000E+01 3.53473E+01 2.35161E-02
 9.00000E+01 6.43624E+01 4.40738E-02
 1.00000E+02 1.05399E+02 7.40819E-02
 1.10000E+02 1.28515E+02 9.24462E-02
 1.20000E+02 1.51663E+02 1.11344E-01
 1.30000E+02 1.74291E+02 1.30266E-01
 1.40000E+02 1.83798E+02 1.39548E-01
 1.50000E+02 1.87207E+02 1.44120E-01
 1.60000E+02 1.94294E+02 1.51423E-01
 1.80000E+02 2.28590E+02 1.81892E-01
 2.00000E+02 2.67708E+02 2.16672E-01
