# p + 136Xe Total deuteron production
# Q-value    =-5.86276E+00
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 4.74538E-20 3.88765E-22
 8.00000E+00 1.02793E-11 4.01945E-14
 9.00000E+00 4.79437E-08 1.13157E-10
 1.00000E+01 1.15693E-05 1.96474E-08
 1.10000E+01 3.97399E-04 5.43014E-07
 1.20000E+01 6.91673E-03 8.13086E-06
 1.30000E+01 6.83820E-02 7.20578E-05
 1.40000E+01 3.68523E-01 3.56567E-04
 1.50000E+01 1.21352E+00 1.09337E-03
 1.60000E+01 2.79165E+00 2.36749E-03
 1.70000E+01 5.05043E+00 4.07352E-03
 1.80000E+01 7.80378E+00 6.04405E-03
 1.90000E+01 1.08577E+01 8.13690E-03
 2.00000E+01 1.40743E+01 1.02604E-02
 2.20000E+01 2.06426E+01 1.43773E-02
 2.40000E+01 2.70709E+01 1.81660E-02
 2.60000E+01 3.31308E+01 2.15871E-02
 2.80000E+01 3.91663E+01 2.49712E-02
 3.00000E+01 4.43159E+01 2.78221E-02
 3.50000E+01 5.56761E+01 3.40541E-02
 4.00000E+01 6.54600E+01 3.96199E-02
 4.50000E+01 7.52875E+01 4.56183E-02
 5.00000E+01 8.40290E+01 5.12672E-02
 5.50000E+01 9.11678E+01 5.62639E-02
 6.00000E+01 1.00379E+02 6.28038E-02
 6.50000E+01 1.08484E+02 6.89016E-02
 7.00000E+01 1.17265E+02 7.56461E-02
 7.50000E+01 1.25796E+02 8.24225E-02
 8.00000E+01 1.35395E+02 9.00765E-02
 9.00000E+01 1.47157E+02 1.00770E-01
 1.00000E+02 1.52148E+02 1.06941E-01
 1.10000E+02 1.48153E+02 1.06573E-01
 1.20000E+02 1.39479E+02 1.02400E-01
 1.30000E+02 1.29853E+02 9.70528E-02
 1.40000E+02 1.21106E+02 9.19488E-02
 1.50000E+02 1.13294E+02 8.72180E-02
 1.60000E+02 1.05791E+02 8.24484E-02
 1.80000E+02 1.09006E+02 8.67377E-02
 2.00000E+02 1.47472E+02 1.19358E-01
