# p + 136Xe Total gamma    production
# Q-value    = 7.40542E+00
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 6.52011E-11 2.46420E+00
 2.00000E+00 5.94338E-05 8.14617E-01
 3.00000E+00 5.83854E-02 1.58138E+00
 4.00000E+00 2.31949E+00 2.00666E+00
 5.00000E+00 2.34416E+01 2.33963E+00
 6.00000E+00 1.13809E+02 2.63129E+00
 7.00000E+00 3.52785E+02 2.89019E+00
 8.00000E+00 7.68609E+02 3.00543E+00
 9.00000E+00 7.96069E+02 1.87888E+00
 1.00000E+01 5.59950E+02 9.50930E-01
 1.10000E+01 5.37148E+02 7.33971E-01
 1.20000E+01 6.98798E+02 8.21461E-01
 1.30000E+01 9.43977E+02 9.94719E-01
 1.40000E+01 1.24774E+03 1.20726E+00
 1.50000E+01 1.60218E+03 1.44355E+00
 1.60000E+01 1.99597E+03 1.69271E+00
 1.70000E+01 2.38561E+03 1.92416E+00
 1.80000E+01 2.56915E+03 1.98981E+00
 1.90000E+01 2.48997E+03 1.86601E+00
 2.00000E+01 2.40922E+03 1.75636E+00
 2.20000E+01 2.65396E+03 1.84844E+00
 2.40000E+01 3.32011E+03 2.22798E+00
 2.60000E+01 3.86277E+03 2.51687E+00
 2.80000E+01 3.81203E+03 2.43043E+00
 3.00000E+01 3.62413E+03 2.27528E+00
 3.50000E+01 4.25801E+03 2.60440E+00
 4.00000E+01 4.50291E+03 2.72540E+00
 4.50000E+01 4.68031E+03 2.83590E+00
 5.00000E+01 4.68463E+03 2.85816E+00
 5.50000E+01 4.74890E+03 2.93077E+00
 6.00000E+01 4.67253E+03 2.92345E+00
 6.50000E+01 4.57920E+03 2.90839E+00
 7.00000E+01 4.50500E+03 2.90611E+00
 7.50000E+01 4.46417E+03 2.92496E+00
 8.00000E+01 4.37156E+03 2.90834E+00
 9.00000E+01 4.23497E+03 2.90001E+00
 1.00000E+02 4.11480E+03 2.89219E+00
 1.10000E+02 3.98435E+03 2.86611E+00
 1.20000E+02 3.89309E+03 2.85813E+00
 1.30000E+02 3.78228E+03 2.82690E+00
 1.40000E+02 3.67100E+03 2.78718E+00
 1.50000E+02 3.59075E+03 2.76431E+00
 1.60000E+02 3.54831E+03 2.76537E+00
 1.80000E+02 3.43563E+03 2.73378E+00
 2.00000E+02 3.31219E+03 2.68076E+00
