# p + 136Xe Total helium-3 production
# Q-value    =-1.00280E+01
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00
 1.20000E+01 2.97522E-38 3.49750E-41
 1.30000E+01 1.79313E-25 1.88951E-28
 1.40000E+01 6.95720E-19 6.73149E-22
 1.50000E+01 9.32506E-15 8.40179E-18
 1.60000E+01 6.67010E-12 5.65665E-15
 1.70000E+01 8.54956E-10 6.89581E-13
 1.80000E+01 3.70424E-08 2.86895E-11
 1.90000E+01 7.69774E-07 5.76878E-10
 2.00000E+01 9.45476E-06 6.89269E-09
 2.20000E+01 4.76508E-04 3.31881E-07
 2.40000E+01 8.61564E-03 5.78157E-06
 2.60000E+01 6.74492E-02 4.39480E-05
 2.80000E+01 2.57620E-01 1.64250E-04
 3.00000E+01 6.29555E-01 3.95243E-04
 3.50000E+01 2.21443E+00 1.35445E-03
 4.00000E+01 4.20506E+00 2.54512E-03
 4.50000E+01 6.23699E+00 3.77912E-03
 5.00000E+01 8.16419E+00 4.98108E-03
 5.50000E+01 9.85791E+00 6.08378E-03
 6.00000E+01 1.13477E+01 7.09993E-03
 6.50000E+01 1.25715E+01 7.98456E-03
 7.00000E+01 1.37574E+01 8.87470E-03
 7.50000E+01 1.48413E+01 9.72417E-03
 8.00000E+01 1.59650E+01 1.06213E-02
 9.00000E+01 1.82616E+01 1.25051E-02
 1.00000E+02 2.08006E+01 1.46202E-02
 1.10000E+02 2.24735E+01 1.61661E-02
 1.20000E+02 2.41314E+01 1.77162E-02
 1.30000E+02 2.58031E+01 1.92854E-02
 1.40000E+02 2.74868E+01 2.08692E-02
 1.50000E+02 2.91961E+01 2.24763E-02
 1.60000E+02 3.09449E+01 2.41169E-02
 1.80000E+02 3.40952E+01 2.71301E-02
 2.00000E+02 3.70637E+01 2.99980E-02
