# p + 136Xe   : (p,n)             Total
# Q-value    =-8.72816E-01
# E-threshold= 8.79284E-01
# # energies =    54
#     E          xs       gamma xs  xs/res.prod.xs
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 1.03086E-12 0.00000E+00 1.00000E+00
 2.00000E+00 7.16174E-05 1.49492E-04 9.99813E-01
 3.00000E+00 3.68625E-02 1.02455E-01 9.99820E-01
 4.00000E+00 1.15463E+00 3.62783E+00 9.99666E-01
 5.00000E+00 1.00076E+01 3.42864E+01 9.99498E-01
 6.00000E+00 4.31909E+01 1.58799E+02 9.99351E-01
 7.00000E+00 1.21793E+02 4.75049E+02 9.99263E-01
 8.00000E+00 2.46231E+02 1.00728E+03 9.99210E-01
 9.00000E+00 2.52072E+02 1.02800E+03 9.98770E-01
 1.00000E+01 1.74509E+02 6.95590E+02 9.97743E-01
 1.10000E+01 1.18729E+02 4.64718E+02 9.96371E-01
 1.20000E+01 8.32775E+01 3.21692E+02 9.94826E-01
 1.30000E+01 6.52660E+01 2.50811E+02 9.93470E-01
 1.40000E+01 5.83793E+01 2.25184E+02 9.92169E-01
 1.50000E+01 5.51567E+01 2.14311E+02 9.90188E-01
 1.60000E+01 5.32295E+01 2.07920E+02 9.86849E-01
 1.70000E+01 5.18800E+01 2.03412E+02 9.83057E-01
 1.80000E+01 5.02629E+01 1.97288E+02 9.79660E-01
 1.90000E+01 4.84073E+01 1.89838E+02 9.76533E-01
 2.00000E+01 4.66837E+01 1.83015E+02 9.74091E-01
 2.20000E+01 4.42356E+01 1.72041E+02 9.71498E-01
 2.40000E+01 4.14530E+01 1.61495E+02 9.73022E-01
 2.60000E+01 3.86839E+01 1.51264E+02 9.77761E-01
 2.80000E+01 3.57451E+01 1.39940E+02 9.82008E-01
 3.00000E+01 3.29555E+01 1.29191E+02 9.84714E-01
 3.50000E+01 2.77385E+01 1.08819E+02 9.87373E-01
 4.00000E+01 2.34056E+01 9.19875E+01 9.87490E-01
 4.50000E+01 2.03857E+01 7.80624E+01 9.87248E-01
 5.00000E+01 1.67732E+01 6.58770E+01 9.85988E-01
 5.50000E+01 1.45354E+01 5.57860E+01 9.84934E-01
 6.00000E+01 1.23383E+01 4.84274E+01 9.84031E-01
 6.50000E+01 1.09630E+01 4.22280E+01 9.82633E-01
 7.00000E+01 9.48833E+00 3.67003E+01 9.81697E-01
 7.50000E+01 8.30091E+00 3.20604E+01 9.80906E-01
 8.00000E+01 7.38393E+00 2.86514E+01 9.79670E-01
 9.00000E+01 5.84301E+00 2.28268E+01 9.75828E-01
 1.00000E+02 4.69720E+00 1.83190E+01 9.76313E-01
 1.10000E+02 4.06765E+00 1.55692E+01 9.76332E-01
 1.20000E+02 3.42428E+00 1.30873E+01 9.73503E-01
 1.30000E+02 2.99036E+00 1.14497E+01 9.70870E-01
 1.40000E+02 2.63014E+00 1.00891E+01 9.69836E-01
 1.50000E+02 2.38355E+00 9.09778E+00 9.70684E-01
 1.60000E+02 2.13123E+00 8.12560E+00 9.71663E-01
 1.80000E+02 1.74141E+00 6.68400E+00 9.76950E-01
 2.00000E+02 1.45798E+00 5.65220E+00 9.77901E-01
