# p + 136Xe Total neutron  production
# Q-value    =-8.72816E-01
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 1.03086E-12 3.89603E-02
 2.00000E+00 7.16308E-05 9.81793E-01
 3.00000E+00 3.68692E-02 9.98611E-01
 4.00000E+00 1.15502E+00 9.99244E-01
 5.00000E+00 1.00133E+01 9.99396E-01
 6.00000E+00 4.32241E+01 9.99356E-01
 7.00000E+00 1.21905E+02 9.98707E-01
 8.00000E+00 2.63248E+02 1.02936E+00
 9.00000E+00 5.88495E+02 1.38897E+00
 1.00000E+01 9.87033E+02 1.67622E+00
 1.10000E+01 1.31671E+03 1.79917E+00
 1.20000E+01 1.57664E+03 1.85340E+00
 1.30000E+01 1.77700E+03 1.87252E+00
 1.40000E+01 1.93658E+03 1.87375E+00
 1.50000E+01 2.07307E+03 1.86781E+00
 1.60000E+01 2.19063E+03 1.85779E+00
 1.70000E+01 2.29572E+03 1.85165E+00
 1.80000E+01 2.46055E+03 1.90570E+00
 1.90000E+01 2.71798E+03 2.03689E+00
 2.00000E+01 2.99230E+03 2.18144E+00
 2.20000E+01 3.41739E+03 2.38016E+00
 2.40000E+01 3.63933E+03 2.44219E+00
 2.60000E+01 3.80715E+03 2.48063E+00
 2.80000E+01 4.07963E+03 2.60104E+00
 3.00000E+01 4.36457E+03 2.74013E+00
 3.50000E+01 4.70090E+03 2.87529E+00
 4.00000E+01 5.04447E+03 3.05319E+00
 4.50000E+01 5.28880E+03 3.20459E+00
 5.00000E+01 5.48644E+03 3.34735E+00
 5.50000E+01 5.60329E+03 3.45805E+00
 6.00000E+01 5.70751E+03 3.57101E+00
 6.50000E+01 5.78859E+03 3.67651E+00
 7.00000E+01 5.85355E+03 3.77605E+00
 7.50000E+01 5.91869E+03 3.87798E+00
 8.00000E+01 5.97526E+03 3.97527E+00
 9.00000E+01 6.13756E+03 4.20286E+00
 1.00000E+02 6.31581E+03 4.43922E+00
 1.10000E+02 6.57596E+03 4.73036E+00
 1.20000E+02 6.87409E+03 5.04665E+00
 1.30000E+02 7.21973E+03 5.39607E+00
 1.40000E+02 7.56095E+03 5.74060E+00
 1.50000E+02 7.86383E+03 6.05390E+00
 1.60000E+02 8.16561E+03 6.36387E+00
 1.80000E+02 8.94899E+03 7.12085E+00
 2.00000E+02 9.79996E+03 7.93172E+00
