# p + 136Xe Total triton   production
# Q-value    =-5.96416E+00
# 
# # energies =    54
#    E         xs         Yield
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 3.88924E-29 3.18625E-31
 8.00000E+00 1.26217E-14 4.93537E-17
 9.00000E+00 3.71122E-10 8.75923E-13
 1.00000E+01 8.89549E-08 1.51067E-10
 1.10000E+01 2.96465E-06 4.05096E-09
 1.20000E+01 4.73463E-05 5.56572E-08
 1.30000E+01 3.99153E-04 4.20608E-07
 1.40000E+01 2.18042E-03 2.10968E-06
 1.50000E+01 1.15368E-02 1.03946E-05
 1.60000E+01 5.06057E-02 4.29167E-05
 1.70000E+01 1.55951E-01 1.25785E-04
 1.80000E+01 3.54016E-01 2.74186E-04
 1.90000E+01 6.53047E-01 4.89401E-04
 2.00000E+01 1.04648E+00 7.62904E-04
 2.20000E+01 2.05597E+00 1.43195E-03
 2.40000E+01 3.25104E+00 2.18163E-03
 2.60000E+01 4.53332E+00 2.95379E-03
 2.80000E+01 5.80704E+00 3.70238E-03
 3.00000E+01 6.99212E+00 4.38975E-03
 3.50000E+01 9.86579E+00 6.03438E-03
 4.00000E+01 1.21342E+01 7.34428E-03
 4.50000E+01 1.38227E+01 8.37549E-03
 5.00000E+01 1.52873E+01 9.32701E-03
 5.50000E+01 1.66414E+01 1.02702E-02
 6.00000E+01 1.81227E+01 1.13388E-02
 6.50000E+01 1.96950E+01 1.25089E-02
 7.00000E+01 2.13621E+01 1.37804E-02
 7.50000E+01 2.31305E+01 1.51553E-02
 8.00000E+01 2.50719E+01 1.66800E-02
 9.00000E+01 2.91434E+01 1.99567E-02
 1.00000E+02 3.34571E+01 2.35161E-02
 1.10000E+02 3.64995E+01 2.62556E-02
 1.20000E+02 4.06889E+01 2.98720E-02
 1.30000E+02 4.63035E+01 3.46075E-02
 1.40000E+02 5.39981E+01 4.09977E-02
 1.50000E+02 6.31374E+01 4.86057E-02
 1.60000E+02 7.40953E+01 5.77462E-02
 1.80000E+02 1.04341E+02 8.30254E-02
 2.00000E+02 1.64236E+02 1.32927E-01
